<<<<<<< HEAD
Ticker,Shares,BuyDate,SellDate
AAPL,100,2024-01-15,
MSFT,75,2024-02-01,
GOOGL,40,2024-01-20,
AMZN,50,2024-03-01,
NVDA,30,2024-02-15,
META,60,2024-01-25,
TSLA,25,2024-04-01,
JPM,80,2024-02-10,
JNJ,100,2024-03-15,
PG,90,2024-01-05,
=======
Ticker,Shares,BuyDate,SellDate
AAPL,100,2024-01-15,
MSFT,75,2024-02-01,
GOOGL,40,2024-01-20,
AMZN,50,2024-03-01,
NVDA,30,2024-02-15,
META,60,2024-01-25,
TSLA,25,2024-04-01,
JPM,80,2024-02-10,
JNJ,100,2024-03-15,
PG,90,2024-01-05,
>>>>>>> 19dde37b83c378e4960c4ec0d65165e18eb451c1
