<<<<<<< HEAD
,size,momentum,volatility,value,quality,liquidity
size,0.0034631360363800955,0.0005858887909379194,0.0013657031054433854,0.00010072291714644614,-0.0014753143442322908,-0.0018192046882766785
momentum,0.0005858887909379194,0.004136120662639888,0.001500977689509195,5.877290580872149e-05,-0.0003817910424739343,-0.0007605860205223848
volatility,0.0013657031054433854,0.001500977689509195,0.006961334007030966,-0.0005958240827350592,-0.0007797604108401653,-0.0006535456044931573
value,0.00010072291714644614,5.877290580872149e-05,-0.0005958240827350592,0.0030760937551207955,0.0009589686943885172,-0.001739756935464122
quality,-0.0014753143442322908,-0.0003817910424739343,-0.0007797604108401653,0.0009589686943885172,0.002531398815307714,0.00019385477536622056
liquidity,-0.0018192046882766785,-0.0007605860205223848,-0.0006535456044931573,-0.001739756935464122,0.00019385477536622056,0.0031986645764448367
=======
,size,momentum,volatility,value,quality,liquidity
size,0.0034631360363800955,0.0005858887909379194,0.0013657031054433854,0.00010072291714644614,-0.0014753143442322908,-0.0018192046882766785
momentum,0.0005858887909379194,0.004136120662639888,0.001500977689509195,5.877290580872149e-05,-0.0003817910424739343,-0.0007605860205223848
volatility,0.0013657031054433854,0.001500977689509195,0.006961334007030966,-0.0005958240827350592,-0.0007797604108401653,-0.0006535456044931573
value,0.00010072291714644614,5.877290580872149e-05,-0.0005958240827350592,0.0030760937551207955,0.0009589686943885172,-0.001739756935464122
quality,-0.0014753143442322908,-0.0003817910424739343,-0.0007797604108401653,0.0009589686943885172,0.002531398815307714,0.00019385477536622056
liquidity,-0.0018192046882766785,-0.0007605860205223848,-0.0006535456044931573,-0.001739756935464122,0.00019385477536622056,0.0031986645764448367
>>>>>>> 19dde37b83c378e4960c4ec0d65165e18eb451c1
