,Mean (%),Std (%),t-stat
Market,-14.062935840079746,16.511579559884783,-0.4155877413917185
Communication Services,75.3420801236837,23.43230379137639,1.5689097867503852
Healthcare,59.813806828488666,20.828921326292242,1.4012319104966926
Financial Services,36.62880178965735,19.32504196020944,0.9248634598606731
Consumer Cyclical,52.48725239266625,17.932186315698466,1.4282227648401482
Consumer Defensive,76.08725755090022,20.17260207779531,1.8404556811268005
Industrials,42.537583159392554,17.72662313644667,1.1709063307989616
Energy,88.32992142684336,26.482054147339912,1.627539470397417
Basic Materials,72.28445802238693,17.38751928950008,2.02853571813696
Utilities,15.881114285152526,21.434667957435096,0.3615260245729251
Real Estate,30.442219593203205,20.226493952519338,0.7343972808995374
size,-3.6299547929396407,5.968093408989785,-0.29678432494820034
momentum,38.77300158541807,6.462829565857025,2.9274000412716576
volatility,-4.92639344976118,8.43097551723715,-0.2851193030489665
value,9.343078947804841,5.598479521009299,0.8143203339862236
quality,9.1530149971142,5.031017224772634,0.8877357802910769
liquidity,-9.261221414015154,5.703188552033826,-0.7923661098585665
