ticker,market_cap,sector,industry,momentum_raw,volatility_raw,book_to_price,roe,avg_volume,size,momentum,volatility,value,quality,liquidity
DLO,3967032832,Technology,Software - Infrastructure,0.06956571359458819,0.4228457649921208,0.12741456493474979,0.35556,1679116,-1.0234689074973407,-0.6116264159760726,-0.6419805047443015,-0.5765985026010205,1.066352549842898,-0.6199428140963354
TER,38344675328,Technology,Semiconductor Equipment & Materials,1.0908522509866643,0.4883598163890069,0.07169051834108714,0.15767999,3029096,0.04947211663899099,0.320208231288284,-0.3455477752322102,-0.8510132749670479,0.23175827508717,-0.24805920530750902
SQM,21948409856,Basic Materials,Specialty Chemicals,0.9433483702251404,0.4837008486931472,0.25020823580424806,0.09955,1602636,-0.21439856695862475,0.18562384026074322,-0.3666282988961456,0.028102686552648446,-0.013415337172136596,-0.649326628143088
TRI,50008150016,Industrials,Specialty Business Services,-0.3328846023612687,0.29415957773081736,0.23898580161454028,0.14868,1107660,0.17507452959628272,-0.9788271324055541,-1.2242494520465805,-0.02716253397266098,0.19379921026370053,-0.8821649219932695
EQT,36027609088,Energy,Oil & Gas E&P,0.14287072547000879,0.39069048323293615,0.6426121928594861,0.08488,9365973,0.019992872439965274,-0.5447420036366409,-0.7874741467473132,1.960507978940152,-0.07528868158255245,0.46345196286577856
NBIS,21451456512,Communication Services,Internet Content & Information,1.608389554176819,0.8654193617368987,0.22426339286965757,0.029719999,16219835,-0.22523021777741853,0.792415758468487,1.360541038279578,-0.09966348627905831,-0.307935834926239,0.8095902982507606
AMKR,11946859520,Technology,Semiconductor Equipment & Materials,0.9919062330495483,0.7716556678411287,0.36062488358577977,0.07245,3756241,-0.5020613042069394,0.22992864338919403,0.9362865902943875,0.571852846826091,-0.12771442602846034,-0.1124441705558174
MP,10415835136,Basic Materials,Other Industrial Metals & Mining,1.6762296406158965,0.8348485480394482,0.18865067360458446,-0.06834,9373955,-0.566922708250187,0.8543139042902923,1.22221667038418,-0.27503941189555325,-0.7215213898691178,0.4639889096391059
RKT,50488905728,Financial Services,Mortgage Finance,0.5037543132731639,0.717991659307818,0.2339654361925251,0.04027,28853975,0.1795995742736931,-0.21546729136757303,0.6934719850775662,-0.051885477094908074,-0.2634393219471503,1.1726596677165604
AMZN,2558168662016,Consumer Cyclical,Internet Retail,0.006815930772037682,0.28688224156666703,0.14453406841433408,0.24327,41428476,2.036080795235096,-0.6688801049277351,-1.2571773595216886,-0.4922929839328229,0.5927494248363817,1.400657531852639
GOOG,4086677897216,Communication Services,Internet Content & Information,0.6529568097747951,0.18250426743180134,0.09462381545176628,0.3545,22815848,2.2576314917186298,-0.07933306203210502,-1.7294584521120229,-0.7380775516855086,1.0618818105739791,1.024666586274977
BE,35800633344,Industrials,Electrical Equipment & Parts,5.419423053729882,0.9283833077520464,0.018253287102137892,0.0293,13475976,0.017003816119308002,4.2696505273092065,1.645435255323974,-1.1141665551521005,-0.3097072557019057,0.6927763943159638
LLY,929760149504,Healthcare,Drug Manufacturers - General,0.28826498159639424,0.3394287225926556,0.025608637936984518,0.9647,3478885,1.55739496781687,-0.41208246058835996,-1.0194192532121547,-1.07794490492388,3.635509265191276,-0.16079364367463958
