ticker,sector,market_cap,book_value,price_to_book,roe,trailing_pe,forward_pe,dividend_yield,beta,avg_volume,current_price,volatility_60d,momentum_60d,avg_volume_60d
NVDA,Information Technology,4653442400256.0,4.892,39.06991,1.07359,47.66334,24.93913,0.02,2.314,181664229,191.13,0.33465055336362365,-0.05604897071104986,181634196.77419356
AAPL,Information Technology,3813817974784.0,5.998,43.26109,1.5202099,32.8872,28.026684,0.4,1.093,46590713,259.48,0.15947295685066626,-0.039347732163855786,47229041.93548387
MSFT,Information Technology,3195174125568.0,52.615,8.178086,0.34390998,26.960527,22.810938,0.85,1.073,27213203,430.29,0.2878580308516208,-0.16746420326052935,27322770.967741936
AMZN,Consumer Discretionary,2558168662016.0,34.587,6.918784,0.24327,34.136948,30.35735,,1.376,41512196,239.3,0.26784837058206246,-0.02014576260893175,43525561.29032258
GOOGL,Communication,4093897080832.0,32.033,10.551619,0.3545,33.432247,29.99009,0.25,1.086,35328359,338.0,0.27564766124975304,0.20282045709980157,35391900.0
META,Communication,1812426522624.0,85.867,8.3443,0.30238,30.48936,20.772282,0.29,1.287,18298054,716.5,0.3443804022444928,0.10601427749057613,18921524.19354839
GOOG,Communication,4086677897216.0,32.033,10.568164,0.3545,33.45158,30.021797,0.25,1.086,22797896,338.53,0.27181895268268497,0.20201140859390487,22912975.80645161
AVGO,Information Technology,1570783887360.0,59.221,5.594299,0.31048,69.454926,23.076942,0.79,1.218,29914786,331.3,0.4818804223734529,-0.10198334754057548,29780651.612903226
TSLA,Consumer Discretionary,1615084257280.0,21.897,19.656118,0.049250003,398.52777,143.4633,,1.835,74413947,430.41,0.4293082355868177,-0.05727613903171258,74554622.58064516
JPM,Financials,832712867840.0,126.991,2.4087536,0.16134001,15.317477,13.254018,1.96,1.066,9923055,305.89,0.24502007956023306,-0.012375209380234509,9887543.548387097
LLY,Health Care,929760149504.0,26.56,39.049324,0.9647,50.24952,31.224928,0.61,0.347,3475983,1037.15,0.29557495055455324,0.20375632058871807,3500806.4516129033
XOM,Energy,596307214336.0,62.069,2.2781098,0.110810004,21.104477,17.245941,2.91,,16857727,141.4,0.21769733911206174,0.247260913527946,16911851.612903226
V,Financials,620500942848.0,20.034,16.06419,0.53954,30.218779,22.21006,0.83,0.815,7051963,321.83,0.21508656733128761,-0.053626054625130704,7055990.322580645
JNJ,Health Care,547512320000.0,32.947,6.897442,0.35557,20.621595,18.118628,2.29,0.333,8884967,227.25,0.1685610028369087,0.21084797983949355,8883462.903225806
WMT,Consumer Staples,949885468672.0,12.054,9.883856,0.23661,40.941578,40.115696,0.8,0.661,28580332,119.14,0.21844185144478556,0.17990574304909002,28445762.903225806
MU,Information Technology,466951274496.0,52.226,7.943936,0.22554001,41.488,9.528057,0.11,1.503,30589808,414.88,0.7198400762020885,0.8547955535238971,30359650.0
MA,Financials,481375289344.0,8.654,62.259068,2.09915,32.574966,23.917923,0.65,0.857,3202301,538.79,0.21912709159403143,-0.022447354666099706,3208185.4838709678
COST,Consumer Staples,417431224320.0,68.262,13.774135,0.30325,51.01736,42.32895,0.55,1.008,2748391,940.25,0.1906470132321264,0.033007296270646025,2743680.64516129
AMD,Information Technology,385406271488.0,37.34,6.33985,0.05317,131.51666,35.82584,,1.95,39513529,236.73,0.5343095847024698,-0.07570669904462768,39431846.77419355
ABBV,Health Care,394144415744.0,-1.495,-149.17056,1.37961,166.42537,15.679026,3.02,0.35,6193301,223.01,0.25622487988486214,0.03102314379887372,6268011.29032258
HD,Consumer Discretionary,372908654592.0,12.177,30.762093,1.62909,25.378725,24.898666,2.47,1.072,4530783,374.59,0.2630662473825336,-0.0067895119405123605,4500343.548387097
BAC,Financials,388492787712.0,38.441,1.383939,0.1019,13.926702,10.733878,2.11,1.295,37769778,53.2,0.19306546271898553,0.000495151823721951,37794390.32258064
