ticker;shares;costdate
DLO;70;2025-01-28
TER;9;2025-01-28
SQM;8;2025-01-28
TRI;5;2025-01-28
EQT;17;2025-01-28
NBIS;6;2025-01-28
AMKR;35;2025-01-28
MP;8;2025-01-28
RKT;30;2025-01-28
AMZN;5;2025-01-28
GOOG;4;2025-01-28
BE;12;2025-01-28
LLY;1;2025-01-28
MTSI;4;2025-01-28
AVIO;15;2025-01-28
BABA;8;2025-01-28
AMD;3;2025-01-28
NU;50;2025-01-28
INTC;45;2025-01-28
EME;1;2025-01-28
TIC;160;2025-01-28
SNPS;4;2025-01-28
OUST;45;2025-01-28
KLIC;10;2025-01-28
SITM;2;2025-01-28
SYNA;10;2025-01-28
GTLB;20;2025-01-28
FORM;12;2025-01-28
