ticker;shares;costdate
CIEN;156.431909;2026-03-24
VRSN;256.373939;2026-03-24
CSCO;762.00654;2026-03-24
ATEN;2530.257407;2026-03-24
HPE;2275.057882;2026-03-24
BAND;3274.78647;2026-03-24
NET;252.397241;2026-03-24
DOCN;609.283019;2026-03-24
FSLY;1654.572469;2026-03-24
AKAM;402.338899;2026-03-24
EQIX;43.99998;2026-03-24
DLR;241.902906;2026-03-24
PANW;266.699247;2026-03-24
TWLO;308.076063;2026-03-24
DDOG;278.412648;2026-03-24
FFIV;117.222584;2026-03-24
CRCL;71509.455963;2026-03-24
VNET;475.042653;2026-03-24
COIN;140.639463;2026-03-24
ZS;160.870632;2026-03-24
SAIL;1816.658036;2026-03-24
DT;609.540978;2026-03-24
PYPL;476.753773;2026-03-24
RXT;15095.369808;2026-03-24
DOCU;400.419428;2026-03-24
