ticker;shares;costdate
STM;4563.300444;2026-04-20
VSH;2827.839969;2026-04-20
NVTS;5517.562626;2026-04-20
AOSL;1747.55007;2026-04-20
DIOD;699.375956;2026-04-20
POWI;1070.228386;2026-04-20
ON;747.833424;2026-04-20
MPWR;40.852021;2026-04-20
ACLS;405.751154;2026-04-20
VICR;225.832643;2026-04-20
MCHP;577.484269;2026-04-20
LFUS;109.065626;2026-04-20
KN;1379.342679;2026-04-20
CTS;656.858487;2026-04-20
ALGM;742.906896;2026-04-20
ARW;168.008824;2026-04-20
AVT;396.103186;2026-04-20
ADI;76.550879;2026-04-20
AEIS;74.512951;2026-04-20
WCC;84.542475;2026-04-20
