ticker;shares;costdate
MTRN;541.912947;2026-02-09
ENTG;600.72376;2026-02-09
SOLS;1122.363431;2026-02-09
HXL;788.226641;2026-02-09
FLS;614.788329;2026-02-09
KMT;1283.828441;2026-02-09
ATI;366.23661;2026-02-09
HWM;215.775721;2026-02-09
SBAC;250.31204;2026-02-09
ESI;1418.856468;2026-02-09
AA;686.32626;2026-02-09
CRS;110.209705;2026-02-09
AMT;228.762869;2026-02-09
CSTM;1588.200254;2026-02-09
VZ;711.741945;2026-02-09
WTS;83.025766;2026-02-09
CNH;2137.167188;2026-02-09
MT;489.050174;2026-02-09
PKE;970.511817;2026-02-09
T;893.258399;2026-02-09
KALU;155.607776;2026-02-09
AGCO;163.839317;2026-02-09
TMUS;97.72524;2026-02-09
CLF;1280.656484;2026-02-09
IPX;88.046604;2026-02-09
