ticker;shares;costdate
LASR;2179.828745;2025-12-31
BKSY;3894.055051;2025-12-31
PL;3687.938134;2025-12-31
IPGP;983.154973;2025-12-31
KOPN;27344.784196;2025-12-31
RCAT;7593.478664;2025-12-31
RDW;6781.901402;2025-12-31
TDY;100.635384;2025-12-31
DRS;1397.521012;2025-12-31
VVX;860.694382;2025-12-31
LHX;150.115906;2025-12-31
MRCY;592.080529;2025-12-31
LMT;89.741956;2025-12-31
CACI;73.631687;2025-12-31
KRMN;530.759747;2025-12-31
SAIC;387.477688;2025-12-31
PSN;566.339283;2025-12-31
LDOS;182.536671;2025-12-31
AVAV;135.751308;2025-12-31
KTOS;430.212705;2025-12-31
