ticker;shares;costdate
TTMI;3731.771652;2025-05-30
RKLB;2479.026289;2025-05-30
GHM;1398.884734;2025-05-30
BWXT;318.550007;2025-05-30
ESE;218.105112;2025-05-30
HXL;723.989974;2025-05-30
KTOS;1005.161583;2025-05-30
CW;83.006384;2025-05-30
HII;165.309117;2025-05-30
RBC;98.336899;2025-05-30
MRCY;717.972529;2025-05-30
HWM;188.239421;2025-05-30
GVA;347.619334;2025-05-30
OSIS;136.095517;2025-05-30
LHX;122.844842;2025-05-30
RTX;213.83868;2025-05-30
AMTM;1352.312783;2025-05-30
NOC;56.425155;2025-05-30
GE;106.206879;2025-05-30
GD;93.53787;2025-05-30
BA;120.755841;2025-05-30
AVAV;138.283493;2025-05-30
LMT;52.008143;2025-05-30
CR;137.902617;2025-05-30
LDOS;150.747684;2025-05-30
DRS;505.703564;2025-05-30
CXW;949.684684;2025-05-30
PSN;283.885332;2025-05-30
GEO;570.83231;2025-05-30
RDW;1055.540559;2025-05-30
