ticker;shares;costdate
TER;949.720379;2025-05-16
TXN;367.205058;2025-05-16
ON;1506.495536;2025-05-16
INTC;3068.404714;2025-05-16
ADI;296.288001;2025-05-16
VSH;4169.296733;2025-05-16
VPG;2105.007449;2025-05-16
OUST;5089.634436;2025-05-16
MCHP;853.971544;2025-05-16
DIOD;984.216071;2025-05-16
ALGM;1727.748192;2025-05-16
TKR;619.829247;2025-05-16
RBC;122.537197;2025-05-16
RRX;321.052188;2025-05-16
NVTS;19275.456373;2025-05-16
ACLS;620.706143;2025-05-16
SMTC;933.633251;2025-05-16
AIP;4511.451964;2025-05-16
TSLA;71.487683;2025-05-16
UBER;245.748555;2025-05-16
