ticker;shares;costdate
LITE;1020.263157;2025-09-26
VIAV;9577.727507;2025-09-26
CIEN;773.119147;2025-09-26
COHR;877.995155;2025-09-26
GLW;844.198534;2025-09-26
LUMN;7542.712538;2025-09-26
COMM;2446.150657;2025-09-26
APH;300.162191;2025-09-26
SBAC;178.32463;2025-09-26
HON;169.26578;2025-09-26
BDC;261.290613;2025-09-26
MSI;63.638876;2025-09-26
T;1043.734744;2025-09-26
AMT;149.473715;2025-09-26
CCI;298.213176;2025-09-26
EXTR;1270.159942;2025-09-26
ALLE;144.634406;2025-09-26
TMUS;102.613642;2025-09-26
PCOR;307.57958;2025-09-26
BSY;367.385158;2025-09-26
