ticker;shares;costdate
BE;1577.10715;2025-09-26
POWL;908.875529;2025-09-26
GEV;106.229367;2025-09-26
ENS;570.384262;2025-09-26
SEI;1563.205309;2025-09-26
CAT;131.049506;2025-09-26
CMI;129.511882;2025-09-26
BKR;927.168228;2025-09-26
GNRC;263.225847;2025-09-26
AME;227.655034;2025-09-26
TEX;796.70788;2025-09-26
ETN;108.254273;2025-09-26
KMI;1403.008775;2025-09-26
WMB;612.938484;2025-09-26
FLNC;3182.14782;2025-09-26
ATO;767.593707;2025-09-26
EQT;687.930584;2025-09-26
RTX;223.548958;2025-09-26
CRK;1471.04246;2025-09-26
TSLA;65.452232;2025-09-26
