ticker;shares;costdate
CIEN;138.718136;2026-03-24
VRSN;89.388554;2026-03-24
CSCO;3875.020482;2026-03-24
ATEN;70.364394;2026-03-24
HPE;1301.702785;2026-03-24
BAND;29.486913;2026-03-24
NET;311.556253;2026-03-24
DOCN;101.973823;2026-03-24
FSLY;148.922541;2026-03-24
AKAM;144.432348;2026-03-24
EQIX;96.75402;2026-03-24
DLR;342.340806;2026-03-24
PANW;795.627015;2026-03-24
TWLO;148.641961;2026-03-24
DDOG;322.256767;2026-03-24
FFIV;55.447917;2026-03-24
CRCL;9237.000077;2026-03-24
VNET;27.886348;2026-03-24
COIN;218.813399;2026-03-24
ZS;157.74282;2026-03-24
DT;292.597588;2026-03-24
PYPL;882.620118;2026-03-24
RXT;242.23399;2026-03-24
DOCU;190.608478;2026-03-24
