ticker;shares;costdate
3037;52.298208;2025-12-17
8046;21.462613;2025-12-17
ATS;3.22025;2025-12-17
009150;2.414547;2025-12-17
2383;11.901757;2025-12-17
4958;35.545108;2025-12-17
TTMI;3.449188;2025-12-17
2368;16.606977;2025-12-17
2313;39.586738;2025-12-17
ASX;72.755834;2025-12-17
2367;23.458446;2025-12-17
AMKR;8.231137;2025-12-17
301377;13.618293;2025-12-17
CLS;3.818742;2025-12-17
002916;22.625187;2025-12-17
SANM;1.81372;2025-12-17
007660;2.438313;2025-12-17
2316;6.026427;2025-12-17
300476;28.982296;2025-12-17
6191;16.584524;2025-12-17
8499;1.367328;2025-12-17
