ticker;shares;costdate
STM;0.442374;2026-04-20
VSH;2.220969;2026-04-20
NVTS;4.13347;2026-04-20
AOSL;0.533013;2026-04-20
DIOD;0.823972;2026-04-20
POWI;0.99407;2026-04-20
MX;0.652651;2026-04-20
009150;1.301935;2026-04-20
ON;7.044443;2026-04-20
MPWR;0.879697;2026-04-20
ACLS;0.55037;2026-04-20
SOI;0.639252;2026-04-20
VICR;0.602603;2026-04-20
BELFA;0.037884;2026-04-20
IFX;23.32116;2026-04-20
MCHP;9.691668;2026-04-20
2308;46.521677;2026-04-20
2327;36.898477;2026-04-20
AIXA;2.019981;2026-04-20
LFUS;0.45065;2026-04-20
MRN;0.434358;2026-04-20
KN;1.531826;2026-04-20
CTS;0.513118;2026-04-20
2301;40.651333;2026-04-20
WOLF;0.865739;2026-04-20
ALGM;3.318536;2026-04-20
XFAB;2.339601;2026-04-20
ARW;0.914909;2026-04-20
AVT;1.466156;2026-04-20
ADI;8.743675;2026-04-20
AEIS;0.68107;2026-04-20
WCC;0.873002;2026-04-20
ELG;0.308496;2026-04-20
