ticker;shares;costdate
NHY;1155.465677;2026-02-09
MTRN;12.229938;2026-02-09
ENTG;89.513215;2026-02-09
HXL;44.327726;2026-02-09
FLS;75.136031;2026-02-09
KMT;44.800315;2026-02-09
ATI;80.231693;2026-02-09
HWM;235.595516;2026-02-09
SBAC;62.358328;2026-02-09
ESI;143.219466;2026-02-09
AA;155.135364;2026-02-09
CRS;29.285123;2026-02-09
AMT;274.197603;2026-02-09
CSTM;80.048291;2026-02-09
VZ;2457.589064;2026-02-09
SAND;737.503619;2026-02-09
WTS;16.148651;2026-02-09
MT;447.496289;2026-02-09
SGL;71.887994;2026-02-09
PKE;11.715173;2026-02-09
T;4105.082414;2026-02-09
KALU;9.530767;2026-02-09
AGCO;42.569096;2026-02-09
TMUS;647.829143;2026-02-09
CLF;335.358913;2026-02-09
ALQ;298.404552;2026-02-09
IPX;71.206523;2026-02-09
PKX;177.841913;2026-02-09
TKA;366.011292;2026-02-09
APAM;42.532555;2026-02-09
CENX;58.190798;2026-02-09
ACX;146.590114;2026-02-09
FTT;76.91576;2026-02-09
OLN;66.941103;2026-02-09
AKE;44.486956;2026-02-09
