ticker;shares;costdate
SHA0;7.49744;2026-04-26
TKR;0.553673;2026-04-26
RRX;0.528182;2026-04-26
AME;1.817581;2026-04-26
CW;0.29285;2026-04-26
APTV;1.691227;2026-04-26
TSLA;29.774676;2026-04-26
ALNT;0.135035;2026-04-26
IFX;10.332177;2026-04-26
ST;1.156886;2026-04-26
TEL;2.31807;2026-04-26
ABBNY;14.395496;2026-04-26
ROK;0.891534;2026-04-26
AMBA;0.347455;2026-04-26
NVDA;192.814857;2026-04-26
SIE;6.052191;2026-04-26
ALGM;1.47024;2026-04-26
STM;0.195989;2026-04-26
VPG;0.097395;2026-04-26
DCO;0.118918;2026-04-26
005380;1.602878;2026-04-26
XPEV;6.2002;2026-04-26
6215;0.656917;2026-04-26
002979;2.500428;2026-04-26
PH;1.001499;2026-04-26
002594;43.115922;2026-04-26
2498;6.634101;2026-04-26
ADI;3.873787;2026-04-26
CGNX;1.325216;2026-04-26
ON;3.120961;2026-04-26
CSCO;31.341484;2026-04-26
UBXN;0.061263;2026-04-26
DAN;0.869305;2026-04-26
2049;2.807259;2026-04-26
CDNS;2.190726;2026-04-26
INFY;32.10914;2026-04-26
MELE;0.312449;2026-04-26
DE;2.143239;2026-04-26
8374;0.890682;2026-04-26
300750;34.977764;2026-04-26
AEVA;0.499475;2026-04-26
AMS;3.351165;2026-04-26
HSAI;1.032657;2026-04-26
NOK;44.296112;2026-04-26
APH;9.755247;2026-04-26
4583;0.636141;2026-04-26
MCHP;4.293784;2026-04-26
TXN;7.224315;2026-04-26
3059;2.436982;2026-04-26
SYM;1.875493;2026-04-26
PONY;2.796631;2026-04-26
454910;0.514331;2026-04-26
