ticker;shares;costdate
LITE;77.287455;2024-08-01
GLW;929.846928;2024-08-01
VIAV;250.469098;2024-08-01
NTGR;29.598172;2024-08-01
NOK;6042.855167;2024-08-01
INSG;135.266265;2024-08-01
ADTN;87.352367;2024-08-01
ERIC;3324.868947;2024-08-01
CSCO;4275.590771;2024-08-01
TEL;316.2301;2024-08-01
TMUS;1192.719425;2024-08-01
MSI;179.908321;2024-08-01
SMTC;100.615674;2024-08-01
EXTR;145.341051;2024-08-01
RBBN;189.979524;2024-08-01
AMT;504.82571;2024-08-01
APH;1330.806312;2024-08-01
CLFD;14.813874;2024-08-01
COHR;202.941109;2024-08-01
CIEN;153.057767;2024-08-01
HLIT;119.332649;2024-08-01
NEX;47.344415;2024-08-01
GRMN;208.35229;2024-08-01
CCOI;54.233672;2024-08-01
SBAC;114.808032;2024-08-01
CCI;472.349043;2024-08-01
FN;38.780244;2024-08-01
CALX;69.937026;2024-08-01
UI;65.511179;2024-08-01
COMM;239.817027;2024-08-01
KEYS;185.644137;2024-08-01
