ticker;shares;costdate
000660;1.058223;2024-07-08
GLW;1.283402;2024-07-08
MU;1.684878;2024-07-08
2454;2.384651;2024-07-08
SMTC;0.138873;2024-07-08
SITM;0.039438;2024-07-08
005930;8.659394;2024-07-08
LSCC;0.204488;2024-07-08
1810;0.450988;2024-07-08
ADI;0.729396;2024-07-08
2317;20.860874;2024-07-08
AAPL;21.934193;2024-07-08
CRUS;0.076207;2024-07-08
000049;0.574665;2024-07-08
QCOM;1.594139;2024-07-08
002475;10.885544;2024-07-08
2474;0.810228;2024-07-08
AMBA;0.065422;2024-07-08
2382;5.7588;2024-07-08
SWKS;0.224712;2024-07-08
2382;5.7588;2024-07-08
QRVO;0.138506;2024-07-08
002241;5.303496;2024-07-08
SYNA;0.057864;2024-07-08
3008;0.195418;2024-07-08
NVDA;36.305143;2024-07-08
AMKR;0.37024;2024-07-08
TSM;7.748683;2024-07-08
NXPI;0.377533;2024-07-08
ASX;3.272584;2024-07-08
