ticker;shares;costdate
LASR;20.681007;2025-12-31
BKSY;13.755761;2025-12-31
PL;119.603467;2025-12-31
IPGP;15.733126;2025-12-31
NXSN;34.119682;2025-12-31
KOG;326.057988;2025-12-31
LPTH;21.391716;2025-12-31
ESLT;17.289215;2025-12-31
CHRT;16.973969;2025-12-31
CODA;4.179901;2025-12-31
DRO;342.180348;2025-12-31
RDW;73.736197;2025-12-31
TDY;17.169125;2025-12-31
MPTI;1.322164;2025-12-31
MTEK;3.595136;2025-12-31
DRS;98.545207;2025-12-31
VVX;11.59137;2025-12-31
UMAC;17.71408;2025-12-31
CHG;99.704065;2025-12-31
LHX;69.238737;2025-12-31
ONDS;178.807709;2025-12-31
MRCY;22.246526;2025-12-31
LMT;85.428859;2025-12-31
RSEL;3.752324;2025-12-31
HAG;42.814122;2025-12-31
ELRN;19.803101;2025-12-31
CACI;8.186866;2025-12-31
AIRO;11.653738;2025-12-31
MOB;4.683002;2025-12-31
FEIM;3.648255;2025-12-31
SAIC;16.09489;2025-12-31
PSN;39.667561;2025-12-31
DPRO;13.528499;2025-12-31
KULR;17.140118;2025-12-31
LDOS;46.67983;2025-12-31
AVAV;18.758543;2025-12-31
KTOS;69.480644;2025-12-31
OPXS;2.571575;2025-12-31
AERG;82.972779;2025-12-31
