ticker;shares;costdate
LLY;627.759231;2025-09-15
LONN;49.079303;2025-09-15
ATR;44.812839;2025-09-15
WW;7.024484;2025-09-15
ROG;12.532964;2025-09-15
XPOF;26.219016;2025-09-15
NGVC;16.185276;2025-09-15
BN;449.847371;2025-09-15
ATS;68.126892;2025-09-15
SG;75.11997;2025-09-15
PPGN;23.193601;2025-09-15
CAMX;41.985549;2025-09-15
ESTA;20.648637;2025-09-15
LWAY;10.645573;2025-09-15
GALD;164.830648;2025-09-15
LTH;156.492334;2025-09-15
UNFI;42.6902;2025-09-15
AIRS;49.572211;2025-09-15
ATS;68.126892;2025-09-15
BRBR;82.404896;2025-09-15
ABBV;1242.903328;2025-09-15
HALO;83.251489;2025-09-15
BMBL;91.65354;2025-09-15
MTCH;163.478486;2025-09-15
IFF;179.495291;2025-09-15
EOLS;45.717434;2025-09-15
APYX;29.393255;2025-09-15
YUM;194.066024;2025-09-15
MDXG;104.397236;2025-09-15
SHAK;28.288965;2025-09-15
DPZ;23.628665;2025-09-15
EAT;30.602668;2025-09-15
PBPB;21.259879;2025-09-15
WING;19.199843;2025-09-15
DVA;46.974566;2025-09-15
HRL;386.682847;2025-09-15
FMS;383.961464;2025-09-15
RMD;102.367719;2025-09-15
