ticker;shares;costdate
TTMI;92.420777;2025-05-30
RKLB;514.461345;2025-05-30
ESLT;41.510872;2025-05-30
BWXT;81.534913;2025-05-30
ESE;23.047314;2025-05-30
HXL;67.101787;2025-05-30
KTOS;166.820877;2025-05-30
CW;32.847505;2025-05-30
HII;35.045813;2025-05-30
MRCY;53.413221;2025-05-30
HWM;356.636394;2025-05-30
GVA;38.718413;2025-05-30
OSIS;14.660623;2025-05-30
LHX;166.240066;2025-05-30
RTX;1197.921518;2025-05-30
OPXS;6.174272;2025-05-30
NOC;126.409982;2025-05-30
GE;929.90181;2025-05-30
GD;241.053715;2025-05-30
BA;699.40389;2025-05-30
AVAV;45.038681;2025-05-30
LMT;205.112049;2025-05-30
LDOS;112.076829;2025-05-30
DRS;236.603993;2025-05-30
CXW;88.009564;2025-05-30
PSN;95.240586;2025-05-30
GEO;118.109925;2025-05-30
RDW;177.038327;2025-05-30
TGI;69.230595;2025-05-30
SPR;104.596053;2025-05-30
