ticker;shares;costdate
BIR;52.724595;2025-10-17
CRK;56.290217;2025-10-17
EQT;119.516737;2025-10-17
POU;27.7501;2025-10-17
TOU;74.128926;2025-10-17
WCP;232.400144;2025-10-17
DTM;19.530518;2025-10-17
ENB;417.806569;2025-10-17
ET;658.64536;2025-10-17
EXE;46.024047;2025-10-17
KMI;425.939723;2025-10-17
WMB;234.114945;2025-10-17
AGX;2.669943;2025-10-17
BKR;189.871118;2025-10-17
CAT;89.078872;2025-10-17
CECO;6.861688;2025-10-17
EFX;23.095393;2025-10-17
EE;6.140518;2025-10-17
KGS;16.904154;2025-10-17
LBRT;31.02463;2025-10-17
PUMP;23.474918;2025-10-17
WRT1V;112.655766;2025-10-17
CENER;40.647054;2025-10-17
FLR;27.397574;2025-10-17
GLEN;2242.903841;2025-10-17
MQG;72.968632;2025-10-17
MTZ;15.091517;2025-10-17
NKT;10.233044;2025-10-17
PRIM;10.382581;2025-10-17
PWR;28.728234;2025-10-17
TE;33.557761;2025-10-17
D;168.277063;2025-10-17
ETR;87.645167;2025-10-17
EVRG;44.087709;2025-10-17
NRG;40.659247;2025-10-17
XEL;119.495332;2025-10-17
