ticker;shares;costdate
DLO;105.482704;2024-10-01
PAGS;101.147138;2024-10-01
BFH;26.340932;2024-10-01
BK;436.472686;2024-10-01
KSPI;120.74275;2024-10-01
XYZ;342.818959;2024-10-01
8473;115.135911;2024-10-01
STNE;146.98771;2024-10-01
GLXY;121.999115;2024-10-01
BABA;1525.570055;2024-10-01
MELI;32.238654;2024-10-01
SE;360.531319;2024-10-01
FOUR;51.660587;2024-10-01
SONN;4.341556;2024-10-01
INTU;175.859869;2024-10-01
OSPN;23.825465;2024-10-01
FISV;344.66118;2024-10-01
JKHY;45.891679;2024-10-01
PAYX;227.839405;2024-10-01
PAR;26.228715;2024-10-01
WEX;21.818336;2024-10-01
WRLD;3.139392;2024-10-01
GPN;175.028748;2024-10-01
MA;562.914619;2024-10-01
CPAY;42.053745;2024-10-01
ACIW;64.449053;2024-10-01
TBBK;26.615068;2024-10-01
TFIN;15.130731;2024-10-01
MCB;7.904004;2024-10-01
LC;73.24406;2024-10-01
FLYW;75.883313;2024-10-01
QTWO;39.683329;2024-10-01
VIRT;55.071164;2024-10-01
HOOD;502.400681;2024-10-01
TOST;333.214867;2024-10-01
RPAY;52.252371;2024-10-01
BILL;62.929561;2024-10-01
LPRO;74.831005;2024-10-01
CPNG;1062.210505;2024-10-01
CMPO;184.041063;2024-10-01
OPFI;16.811205;2024-10-01
AFRM;185.945263;2024-10-01
HIPO;16.515107;2024-10-01
PSFE;32.592016;2024-10-01
PAYO;219.243279;2024-10-01
COIN;141.833339;2024-10-01
PAY;38.543347;2024-10-01
MQ;250.787754;2024-10-01
RELY;133.956438;2024-10-01
AVDX;132.076932;2024-10-01
