ticker;shares;costdate
NEO;2631.056113;2025-05-19
LYC;20347.993519;2025-05-19
VNP;1818.179747;2025-05-19
UURAF;2352.28545;2025-05-19
CODI;1521.009822;2025-05-19
METSO;16741.576823;2025-05-19
ARU;94614.317301;2025-05-19
ILU;8717.264673;2025-05-19
PPTA;2526.048609;2025-05-19
MP;3591.818525;2025-05-19
SOLB;2112.181702;2025-05-19
BRE;5642.806664;2025-05-19
UMI;4863.32628;2025-05-19
NDM;11321.035147;2025-05-19
IDR;3537.765359;2025-05-19
MKA;7826.02491;2025-05-19
CRML;2673.200654;2025-05-19
IONR;1553.960393;2025-05-19
REEMF;13047.106484;2025-05-19
TMC;8757.560009;2025-05-19
AREC;763.307285;2025-05-19
NVX;4353.681198;2025-05-19
