ticker;shares;costdate
TER;2.905459;2025-05-16
2308;48.205692;2025-05-16
TXN;16.896548;2025-05-16
ON;7.299441;2025-05-16
INTC;93.18084;2025-05-16
ADI;9.060183;2025-05-16
VSH;2.301365;2025-05-16
VPG;0.227793;2025-05-16
MCHP;10.042492;2025-05-16
DIOD;0.853798;2025-05-16
ALGM;3.438662;2025-05-16
TKR;1.294954;2025-05-16
RRX;1.235335;2025-05-16
SHA0;17.535345;2025-05-16
NVTS;4.283095;2025-05-16
ACLS;0.570292;2025-05-16
SMTC;1.725005;2025-05-16
MRN;0.450081;2025-05-16
TSLA;69.63833;2025-05-16
UBER;37.799774;2025-05-16
AME;4.251039;2025-05-16
APH;22.816003;2025-05-16
SLAB;0.611834;2025-05-16
ROK;2.085159;2025-05-16
JUN3;0.890793;2025-05-16
NVDA;450.963913;2025-05-16
SIE;14.155133;2025-05-16
005380;3.748882;2025-05-16
STM;0.458387;2025-05-16
RSW;1.349826;2025-05-16
CW;0.68493;2025-05-16
DCO;0.278131;2025-05-16
DE;5.012701;2025-05-16
JBL;1.957937;2025-05-16
GE;19.390142;2025-05-16
ALNT;0.315825;2025-05-16
BSY;5.414009;2025-05-16
UMI;4.464393;2025-05-16
NXPI;4.689521;2025-05-16
NOK;103.601706;2025-05-16
CGNX;3.099474;2025-05-16
F;73.123524;2025-05-16
PH;2.34235;2025-05-16
LYC;18.67887;2025-05-16
INFY;75.098277;2025-05-16
POWI;1.030054;2025-05-16
AMZN;199.579402;2025-05-16
AEHR;0.583715;2025-05-16
CDNS;5.123768;2025-05-16
ILU;8.002197;2025-05-16
TTE;39.562638;2025-05-16
LSCC;2.540048;2025-05-16
CSCO;73.302849;2025-05-16
IFX;24.165351;2025-05-16
MBG;16.42104;2025-05-16
3019;5.18226;2025-05-16
8374;2.083165;2025-05-16
ABBNY;33.668822;2025-05-16
ABBN;33.668822;2025-05-16
MIDD;0.865217;2025-05-16
MELE;0.73077;2025-05-16
002594;100.841424;2025-05-16
6215;1.536426;2025-05-16
HON;11.759452;2025-05-16
UCTT;0.844213;2025-05-16
NOVT;0.662226;2025-05-16
3059;5.69972;2025-05-16
AMS;7.837852;2025-05-16
CMG;24.170608;2025-05-16
2049;6.565742;2025-05-16
UBXN;0.143284;2025-05-16
DAN;2.03317;2025-05-16
002747;16.164522;2025-05-16
AMBA;0.812642;2025-05-16
MTUS;0.774441;2025-05-16
SG;1.983915;2025-05-16
002979;5.848112;2025-05-16
4540;2.137657;2025-05-16
454910;1.202941;2025-05-16
300750;81.807542;2025-05-16
ICHR;0.644799;2025-05-16
ST;2.705775;2025-05-16
AEVA;1.168195;2025-05-16
TMC;8.039187;2025-05-16
CRDO;3.423056;2025-05-16
MP;3.297186;2025-05-16
XPEV;14.501303;2025-05-16
4583;1.487835;2025-05-16
GXO;2.128876;2025-05-16
INDI;3.909984;2025-05-16
SYM;4.386487;2025-05-16
HSAI;2.415224;2025-05-16
2498;15.516128;2025-05-16
CA1;0.441466;2025-05-16
7750;1.331513;2025-05-16
TEL;5.421606;2025-05-16
PONY;6.540884;2025-05-16
APTV;3.955516;2025-05-16
