ticker;shares;costdate
CRM;288.077447;2026-04-27
NOW;364.882355;2026-04-27
ADBE;142.338942;2026-04-27
INTU;97.387022;2026-04-27
ORCL;1012.798969;2026-04-27
WDAY;73.951454;2026-04-27
SNOW;121.738179;2026-04-27
DDOG;115.675345;2026-04-27
MDB;28.302111;2026-04-27
CFLT;109.266992;2026-04-27
ESTC;36.447857;2026-04-27
PLTR;806.940923;2026-04-27
PATH;161.718155;2026-04-27
AI;203.219659;2026-04-27
CRWD;89.310146;2026-04-27
PANW;285.593473;2026-04-27
ZS;56.622411;2026-04-27
OKTA;59.583905;2026-04-27
S;117.609594;2026-04-27
NET;111.834353;2026-04-27
FTNT;260.563928;2026-04-27
CYBR;17.775448;2026-04-27
VRNS;40.431778;2026-04-27
TENB;40.45765;2026-04-27
QLYS;12.56327;2026-04-27
TEAM;59.728285;2026-04-27
ZM;93.661212;2026-04-27
DOCU;68.419669;2026-04-27
ASAN;57.117916;2026-04-27
BOX;48.75499;2026-04-27
DBX;57.493322;2026-04-27
DT;105.029065;2026-04-27
PD;29.797581;2026-04-27
FSLY;53.456337;2026-04-27
APP;108.134633;2026-04-27
VEEV;57.516952;2026-04-27
TYL;14.950061;2026-04-27
PCTY;18.972665;2026-04-27
PAYC;16.785617;2026-04-27
PAYO;121.411725;2026-04-27
DAY;56.356277;2026-04-27
NCNO;40.33337;2026-04-27
BLKB;16.175456;2026-04-27
PEGA;59.528708;2026-04-27
HUBS;18.572568;2026-04-27
ZI;128.633272;2026-04-27
BILL;34.848897;2026-04-27
FRSH;85.891875;2026-04-27
BL;20.974601;2026-04-27
BIGC;28.430849;2026-04-27
BRZE;39.950936;2026-04-27
WIX;78.323302;2026-04-27
SEMR;45.977001;2026-04-27
EPAM;18.578312;2026-04-27
APPF;8.5695;2026-04-27
APPN;15.097457;2026-04-27
DUOL;14.235998;2026-04-27
RNG;26.153472;2026-04-27
FIVN;26.961992;2026-04-27
GWRE;29.81211;2026-04-27
MANH;20.861475;2026-04-27
ADSK;74.303604;2026-04-27
PTC;41.904456;2026-04-27
CDNS;97.225761;2026-04-27
SNPS;67.458526;2026-04-27
ANSS;30.959634;2026-04-27
U;153.653524;2026-04-27
ROP;36.050567;2026-04-27
FICO;8.353744;2026-04-27
TWLO;53.355622;2026-04-27
