ticker;shares;costdate
CRM;511.764861;2026-04-27
NOW;648.207522;2026-04-27
ADBE;252.862796;2026-04-27
INTU;173.006448;2026-04-27
WDAY;131.373546;2026-04-27
SNOW;216.26588;2026-04-27
DDOG;205.495353;2026-04-27
MDB;50.278237;2026-04-27
PLTR;1433.51732;2026-04-27
CRWD;158.658011;2026-04-27
PANW;507.352121;2026-04-27
ZS;100.588785;2026-04-27
OKTA;105.849831;2026-04-27
NET;198.671894;2026-04-27
FTNT;462.887546;2026-04-27
S;208.931515;2026-04-27
TEAM;106.10632;2026-04-27
DT;186.582411;2026-04-27
HUBS;32.993863;2026-04-27
VEEV;102.177923;2026-04-27
APP;192.099403;2026-04-27
BILL;61.908495;2026-04-27
CFLT;194.11102;2026-04-27
