ticker;shares;costdate
LITE;58.018632;2025-09-26
VIAV;188.023717;2025-09-26
CIEN;114.898366;2025-09-26
COHR;152.345107;2025-09-26
NOK;4536.28849;2025-09-26
GLW;698.023335;2025-09-26
NDA;35.476712;2025-09-26
LUMN;837.092302;2025-09-26
COMM;180.027353;2025-09-26
APH;999.018045;2025-09-26
SBAC;86.184815;2025-09-26
HON;514.897583;2025-09-26
BDC;31.636736;2025-09-26
NEX;35.540803;2025-09-26
BRC;35.501399;2025-09-26
TEL;237.389599;2025-09-26
MSI;135.054709;2025-09-26
T;5673.592928;2025-09-26
AMT;378.965736;2025-09-26
CCI;354.585948;2025-09-26
EXTR;109.105533;2025-09-26
ALLE;69.830182;2025-09-26
TMUS;895.358113;2025-09-26
PCOR;121.969534;2025-09-26
BSY;237.056955;2025-09-26
