ticker;shares;costdate
BE;2.704481;2025-09-26
298040;0.088611;2025-09-26
POWL;0.346641;2025-09-26
ENS;0.350681;2025-09-26
267250;0.672487;2025-09-26
ENR;8.139536;2025-09-26
CAT;4.427718;2025-09-26
CENER;2.020386;2025-09-26
CMI;1.315671;2025-09-26
WEGE3;39.927909;2025-09-26
WRT1V;5.599621;2025-09-26
ABBN;17.264385;2025-09-26
BKR;9.437656;2025-09-26
GNRC;0.558365;2025-09-26
373220;2.226766;2025-09-26
BAS;8.415322;2025-09-26
AME;2.179808;2025-09-26
TEX;1.08198;2025-09-26
SU;5.347069;2025-09-26
ETN;3.692105;2025-09-26
KMI;21.171585;2025-09-26
WMB;11.636822;2025-09-26
FLNC;1.260274;2025-09-26
ATO;0.184731;2025-09-26
EQT;5.94065;2025-09-26
RTX;12.808417;2025-09-26
SIE;7.258337;2025-09-26
JMAT;1.594366;2025-09-26
TE;1.668008;2025-09-26
WAC;0.64724;2025-09-26
CRK;2.797938;2025-09-26
TSLA;35.708495;2025-09-26
MTX;0.512264;2025-09-26
