ticker;shares;costdate
3037;4.081903;2025-11-24
2383;0.928939;2025-11-24
LITE;0.185103;2025-11-24
000660;1.836243;2025-11-24
002281;2.091287;2025-11-24
2368;1.296184;2025-11-24
AMKR;0.642445;2025-11-24
ASX;5.678632;2025-11-24
TTMI;0.269211;2025-11-24
MU;2.923623;2025-11-24
CC;0.38916;2025-11-24
COHR;0.486042;2025-11-24
INTC;13.016848;2025-11-24
300308;2.886983;2025-11-24
2454;4.137877;2025-11-24
300502;2.576945;2025-11-24
HUBN;0.047851;2025-11-24
3715;0.73516;2025-11-24
TSM;13.445617;2025-11-24
300476;2.262084;2025-11-24
SNPS;0.49662;2025-11-24
CLS;0.298055;2025-11-24
2382;9.992746;2025-11-24
007660;0.190312;2025-11-24
CDNS;0.715762;2025-11-24
APH;3.187269;2025-11-24
AVGO;12.274513;2025-11-24
2316;0.470366;2025-11-24
300456;1.898245;2025-11-24
6191;1.294431;2025-11-24
