ticker;shares;costdate
LMT;200.264214;2026-04-27
NOC;123.422275;2026-04-27
GD;235.356397;2026-04-27
RTX;1169.608576;2026-04-27
LHX;162.310972;2026-04-27
BA;682.87344;2026-04-27
HII;34.217503;2026-04-27
TXT;151.286372;2026-04-27
CW;32.071152;2026-04-27
HEI;152.911033;2026-04-27
TDG;49.073721;2026-04-27
AXON;70.014667;2026-04-27
BWXT;79.60783;2026-04-27
KTOS;162.878056;2026-04-27
AVAV;43.974189;2026-04-27
MRCY;52.150797;2026-04-27
DRS;231.011844;2026-04-27
LDOS;109.427887;2026-04-27
CACI;19.191832;2026-04-27
SAIC;37.729995;2026-04-27
BAH;104.792669;2026-04-27
PSN;92.98957;2026-04-27
RKLB;502.302022;2026-04-27
AIRO;27.318949;2026-04-27
ONDS;419.164971;2026-04-27
