ticker;shares;costdate
CIEN;93.157576;2026-03-24
VRSN;165.878743;2026-03-24
CSCO;497.362734;2026-03-24
ATEN;1784.12132;2026-03-24
HPE;1673.640167;2026-03-24
BAND;2425.712553;2026-03-24
NET;187.661271;2026-03-24
DOCN;471.031559;2026-03-24
FSLY;1418.439716;2026-03-24
AKAM;349.344978;2026-03-24
EQIX;41.470976;2026-03-24
DLR;228.950833;2026-03-24
PANW;254.436741;2026-03-24
TWLO;325.759427;2026-03-24
DDOG;326.34413;2026-03-24
FFIV;138.38915;2026-03-24
CRCL;89887.640449;2026-03-24
VNET;655.737705;2026-03-24
COIN;220.945647;2026-03-24
ZS;286.923463;2026-03-24
SAIL;3246.753247;2026-03-24
DT;1094.391245;2026-03-24
PYPL;904.772676;2026-03-24
RXT;28776.978417;2026-03-24
DOCU;866.551127;2026-03-24
