ticker;shares;costdate
3037;224.618149;2025-12-17
8046;195.560771;2025-12-17
ATS;1295.051608;2025-12-17
009150;0.1859;2025-12-17
2383;31.852206;2025-12-17
4958;340.136054;2025-12-17
TTMI;773.287555;2025-12-17
2368;81.261173;2025-12-17
2313;501.781324;2025-12-17
ASX;3228.410008;2025-12-17
2367;1722.20787;2025-12-17
AMKR;1227.431071;2025-12-17
301377;372.081947;2025-12-17
CLS;172.639117;2025-12-17
002916;213.989339;2025-12-17
SANM;333.303336;2025-12-17
007660;0.378686;2025-12-17
2316;460.087417;2025-12-17
300476;157.573256;2025-12-17
6191;405.26849;2025-12-17
8499;123.846678;2025-12-17
