ticker;shares;costdate
STM;1751.620249;2026-04-20
VSH;1150.893669;2026-04-20
NVTS;2295.684114;2026-04-20
AOSL;759.474444;2026-04-20
DIOD;313.501245;2026-04-20
POWI;490.102382;2026-04-20
MX;9018.759019;2026-04-20
009150;0.044629;2026-04-20
ON;354.172865;2026-04-20
MPWR;20.325873;2026-04-20
ACLS;231.285531;2026-04-20
SOI;303.030303;2026-04-20
VICR;134.793961;2026-04-20
BELFA;129.04791;2026-04-20
IFX;631.3789;2026-04-20
MCHP;376.950246;2026-04-20
2308;15.948963;2026-04-20
2327;94.845165;2026-04-20
AIXA;698.06566;2026-04-20
LFUS;76.780678;2026-04-20
MRN;1115.722765;2026-04-20
KN;995.827483;2026-04-20
CTS;552.773263;2026-04-20
2301;183.654729;2026-04-20
WOLF;1150.893669;2026-04-20
ALGM;745.462;2026-04-20
XFAB;4802.381981;2026-04-20
ARW;172.205662;2026-04-20
AVT;407.737222;2026-04-20
ADI;79.525076;2026-04-20
AEIS;79.698675;2026-04-20
WCC;93.875559;2026-04-20
ELG;176.180409;2026-04-20
