ticker;shares;costdate
NHY;301.977956;2026-02-09
MTRN;180.033033;2026-02-09
ENTG;220.827086;2026-02-09
SOLS;418.386042;2026-02-09
HXL;314.048652;2026-02-09
FLS;316.65556;2026-02-09
KMT;667.169268;2026-02-09
ATI;199.226205;2026-02-09
HWM;120.040093;2026-02-09
SBAC;147.382069;2026-02-09
ESI;876.376953;2026-02-09
AA;434.113319;2026-02-09
CRS;74.046649;2026-02-09
AMT;157.141644;2026-02-09
CSTM;1094.211621;2026-02-09
VZ;583.443473;2026-02-09
SAND;71.17995;2026-02-09
WTS;84.656232;2026-02-09
CNH;2184.884966;2026-02-09
MT;523.761323;2026-02-09
SGL;5946.5406;2026-02-09
PKE;1092.438067;2026-02-09
T;1007.373572;2026-02-09
KALU;189.743239;2026-02-09
AGCO;202.78199;2026-02-09
TMUS;137.392424;2026-02-09
CLF;2195.534283;2026-02-09
ALQ;1152.047188;2026-02-09
IPX;186.851656;2026-02-09
PKX;427.238578;2026-02-09
TKA;2273.088901;2026-02-09
APAM;640.311283;2026-02-09
CENX;497.185928;2026-02-09
ACX;2019.957177;2026-02-09
FTT;299.610862;2026-02-09
OLN;1109.178798;2026-02-09
AKE;458.085204;2026-02-09
