ticker;shares;costdate
RBC;30.392689;2026-04-26
SHA0;2190.580504;2026-04-26
TKR;167.189133;2026-04-26
RRX;86.679148;2026-04-26
AME;76.774842;2026-04-26
CW;25.269723;2026-04-26
APTV;298.895581;2026-04-26
TSLA;47.051959;2026-04-26
ALNT;247.573777;2026-04-26
IFX;380.890713;2026-04-26
ST;443.675407;2026-04-26
TEL;84.696596;2026-04-26
ABBNY;182.897276;2026-04-26
ROK;44.341572;2026-04-26
AMBA;306.710833;2026-04-26
NVDA;90.963669;2026-04-26
SIE;75.25587;2026-04-26
ALGM;447.2772;2026-04-26
STM;1047.339757;2026-04-26
VPG;334.101767;2026-04-26
DCO;128.511579;2026-04-26
005380;0.033795;2026-04-26
XPEV;1091.345629;2026-04-26
6215;178.253119;2026-04-26
002979;430.135278;2026-04-26
PH;18.692305;2026-04-26
002594;182.805331;2026-04-26
2498;454.545455;2026-04-26
ADI;47.715046;2026-04-26
CGNX;338.45529;2026-04-26
ON;209.202833;2026-04-26
CSCO;202.695855;2026-04-26
UBXN;133.68984;2026-04-26
DAN;479.857962;2026-04-26
2049;61.948273;2026-04-26
CDNS;55.799835;2026-04-26
INFY;1413.82723;2026-04-26
MELE;259.000259;2026-04-26
DE;30.958315;2026-04-26
SERV;2031.488065;2026-04-26
8374;238.920081;2026-04-26
300750;40.867202;2026-04-26
AEVA;1151.476769;2026-04-26
AMS;345.399282;2026-04-26
HSAI;813.868316;2026-04-26
NOK;1738.223536;2026-04-26
APH;118.98317;2026-04-26
4583;25.147743;2026-04-26
MCHP;224.661043;2026-04-26
TXN;77.983351;2026-04-26
3059;472.255018;2026-04-26
SYM;2507.836991;2026-04-26
PONY;1700.8249;2026-04-26
OUST;776.337241;2026-04-26
454910;0.194458;2026-04-26
