ticker;shares;costdate
LITE;671.903031;2024-08-01
GLW;832.984244;2024-08-01
VIAV;4244.482173;2024-08-01
NTGR;1963.363635;2024-08-01
NOK;8515.182144;2024-08-01
INSG;2186.987425;2024-08-01
ADTN;5024.620641;2024-08-01
ERIC;5086.979723;2024-08-01
CSCO;711.181711;2024-08-01
TEL;220.511572;2024-08-01
TMUS;177.181073;2024-08-01
MSI;82.407234;2024-08-01
SMTC;1046.999822;2024-08-01
EXTR;2384.188065;2024-08-01
RBBN;10208.248265;2024-08-01
AMT;150.357246;2024-08-01
APH;526.842049;2024-08-01
CLFD;756.521213;2024-08-01
COHR;492.639959;2024-08-01
CIEN;628.934773;2024-08-01
HLIT;2224.694105;2024-08-01
NEX;286.385016;2024-08-01
GRMN;193.835846;2024-08-01
CCOI;510.632987;2024-08-01
SBAC;147.240219;2024-08-01
CCI;314.914985;2024-08-01
FN;150.058448;2024-08-01
CALX;828.191644;2024-08-01
UI;185.456298;2024-08-01
COMM;12851.818532;2024-08-01
KEYS;243.401981;2024-08-01
