ticker;shares;costdate
000660;0.144755;2024-07-08
GLW;800.568083;2024-07-08
MU;256.62108;2024-07-08
2454;24.910817;2024-07-08
SMTC;985.610093;2024-07-08
SITM;234.049525;2024-07-08
005930;0.394472;2024-07-08
LSCC;540.511324;2024-07-08
1810;1773.049645;2024-07-08
ADI;146.905264;2024-07-08
2317;152.511816;2024-07-08
AAPL;147.445912;2024-07-08
CRUS;255.564926;2024-07-08
000049;1345.991033;2024-07-08
QCOM;166.703008;2024-07-08
002475;860.359372;2024-07-08
2474;161.026395;2024-07-08
AMBA;544.484373;2024-07-08
2382;109.306892;2024-07-08
SWKS;335.159281;2024-07-08
2382;109.306892;2024-07-08
QRVO;275.892512;2024-07-08
002241;1722.759723;2024-07-08
SYNA;376.775555;2024-07-08
3008;11.0011;2024-07-08
NVDA;260.135801;2024-07-08
AMKR;848.856802;2024-07-08
TSM;182.031987;2024-07-08
NXPI;124.242926;2024-07-08
ASX;2931.356427;2024-07-08
