ticker;shares;costdate
ONDS;40849.673203;2024-12-19
DRO;89605.734767;2024-12-19
ESLT;216.136762;2024-12-19
KTOS;2170.138889;2024-12-19
MRCY;1423.771285;2024-12-19
CHG;177.781476;2024-12-19
CODA;7059.155725;2024-12-19
TDY;119.487161;2024-12-19
RCAT;6115.085917;2024-12-19
CACI;138.913199;2024-12-19
DRS;1759.501484;2024-12-19
CHRT;51.029865;2024-12-19
AVAV;343.274565;2024-12-19
MPTI;1043.296818;2024-12-19
LDOS;392.88643;2024-12-19
SAIC;515.051399;2024-12-19
PSN;584.180395;2024-12-19
KULR;3100.198413;2024-12-19
