ticker;shares;costdate
LASR;634.751368;2025-12-31
BKSY;1269.84127;2025-12-31
PL;1207.379504;2025-12-31
IPGP;332.535249;2025-12-31
NXSN;1.139818;2025-12-31
KOG;92.568674;2025-12-31
KOPN;10175.010175;2025-12-31
LPTH;2204.585538;2025-12-31
RCAT;3002.462019;2025-12-31
ESLT;41.258219;2025-12-31
CHRT;26.399511;2025-12-31
CODA;2560.16385;2025-12-31
DRO;7730.364873;2025-12-31
RDW;3132.83208;2025-12-31
TDY;46.618612;2025-12-31
MPTI;447.379252;2025-12-31
MTEK;20525.45156;2025-12-31
DRS;699.759409;2025-12-31
VVX;436.471564;2025-12-31
UMAC;1868.87942;2025-12-31
CHG;50.88538;2025-12-31
LHX;81.385919;2025-12-31
ONDS;2439.50039;2025-12-31
MRCY;326.113187;2025-12-31
LMT;49.486232;2025-12-31
RSEL;16.600177;2025-12-31
HAG;324.380433;2025-12-31
ELRN;41.072147;2025-12-31
CACI;44.686706;2025-12-31
AIRO;2910.699732;2025-12-31
MOB;3903.200625;2025-12-31
KRMN;325.400079;2025-12-31
FEIM;442.227411;2025-12-31
SAIC;238.240565;2025-12-31
PSN;385.267376;2025-12-31
DPRO;3445.661912;2025-12-31
KULR;8043.758044;2025-12-31
LDOS;132.309092;2025-12-31
AVAV;98.431203;2025-12-31
KTOS;313.654641;2025-12-31
OPXS;1679.091947;2025-12-31
AERG;13154.433044;2025-12-31
