ticker;shares;costdate
LLY;34.378353;2025-09-15
LONN;46.858599;2025-09-15
ATR;191.58699;2025-09-15
WW;909.578774;2025-09-15
ROG;314.074297;2025-09-15
XPOF;2964.280421;2025-09-15
NGVC;719.118292;2025-09-15
BN;345.473264;2025-09-15
ATS;671.582652;2025-09-15
SG;3052.503053;2025-09-15
PPGN;1013.479274;2025-09-15
CAMX;37.214841;2025-09-15
ESTA;696.010468;2025-09-15
LWAY;760.410013;2025-09-15
GALD;176.733129;2025-09-15
LTH;907.325748;2025-09-15
UNFI;915.750916;2025-09-15
AIRS;4323.950361;2025-09-15
ATS;671.582652;2025-09-15
BRBR;722.07901;2025-09-15
ABBV;120.626979;2025-09-15
HALO;335.923302;2025-09-15
BMBL;3657.778265;2025-09-15
MTCH;696.454732;2025-09-15
IFF;405.8293;2025-09-15
EOLS;3867.424682;2025-09-15
APYX;12038.040207;2025-09-15
QSR;412.493777;2025-09-15
YUM;173.815897;2025-09-15
MDXG;3678.769819;2025-09-15
SHAK;253.520127;2025-09-15
DPZ;57.505981;2025-09-15
EAT;167.763842;2025-09-15
PBPB;1507.408915;2025-09-15
WING;96.095132;2025-09-15
DVA;195.807756;2025-09-15
HRL;1078.164907;2025-09-15
FMS;1037.678092;2025-09-15
RMD;94.994451;2025-09-15
