ticker;shares;costdate
TTMI;984.988771;2025-05-30
RKLB;1097.863558;2025-05-30
GHM;745.923528;2025-05-30
ESLT;72.185569;2025-05-30
BWXT;235.165811;2025-05-30
ESE;162.52072;2025-05-30
HXL;560.147269;2025-05-30
KTOS;797.28286;2025-05-30
CW;66.944591;2025-05-30
HII;133.505905;2025-05-30
RBC;80.388566;2025-05-30
MRCY;597.193192;2025-05-30
HWM;173.43724;2025-05-30
GVA;330.396876;2025-05-30
OSIS;134.232873;2025-05-30
LHX;122.434288;2025-05-30
RTX;218.028688;2025-05-30
AMTM;1423.609134;2025-05-30
OPXS;3448.038066;2025-05-30
NOC;61.646844;2025-05-30
GE;120.236865;2025-05-30
GD;107.55272;2025-05-30
BA;141.866509;2025-05-30
AVAV;165.206789;2025-05-30
LMT;62.641117;2025-05-30
CR;172.234616;2025-05-30
LDOS;199.944288;2025-05-30
DRS;700.000112;2025-05-30
CXW;1339.333548;2025-05-30
PSN;453.605255;2025-05-30
GEO;1083.705406;2025-05-30
RDW;2055.329469;2025-05-30
TGI;1140.432908;2025-05-30
SPR;786.831587;2025-05-30
