ticker;shares;costdate
BIR;4626.727215;2025-10-17
CRK;1589.825119;2025-10-17
EQT;502.653533;2025-10-17
POU;1249.868295;2025-10-17
TOU;466.4215;2025-10-17
WCP;2663.968599;2025-10-17
DTM;251.276295;2025-10-17
ENB;589.812279;2025-10-17
ET;1707.512937;2025-10-17
EXE;270.947096;2025-10-17
KMI;1007.925825;2025-10-17
WMB;439.428128;2025-10-17
AGX;95.484014;2025-10-17
BKR;603.316867;2025-10-17
CAT;51.642672;2025-10-17
CECO;552.926085;2025-10-17
EFX;119.710869;2025-10-17
EE;994.397465;2025-10-17
KGS;790.305543;2025-10-17
LBRT;1778.23427;2025-10-17
PUMP;4878.524734;2025-10-17
WRT1V;1092.831202;2025-10-17
CENER;2072.624772;2025-10-17
ECG;305.528228;2025-10-17
FLR;579.357493;2025-10-17
GLEN;78.157973;2025-10-17
MQG;120.875187;2025-10-17
MTZ;133.889959;2025-10-17
NKT;36.846663;2025-10-17
PRIM;197.839897;2025-10-17
PWR;62.324273;2025-10-17
TE;728.884224;2025-10-17
D;455.974583;2025-10-17
ETR;285.750519;2025-10-17
EVRG;352.748978;2025-10-17
NRG;161.082075;2025-10-17
XEL;338.060112;2025-10-17
