ticker;shares;costdate
DLO;2492.16215;2024-10-01
PAGS;2394.328697;2024-10-01
BFH;422.900574;2024-10-01
BK;279.417087;2024-10-01
KSPI;192.661612;2024-10-01
XYZ;291.640419;2024-10-01
8473;437.143411;2024-10-01
STNE;1732.501733;2024-10-01
GLXY;1574.112028;2024-10-01
NU;1431.926227;2024-10-01
BABA;171.933719;2024-10-01
MELI;9.307673;2024-10-01
SE;197.25889;2024-10-01
FOUR;217.887709;2024-10-01
SONN;3137.156481;2024-10-01
INTU;32.140531;2024-10-01
OSPN;1297.578977;2024-10-01
FISV;106.065684;2024-10-01
JKHY;109.193146;2024-10-01
PAYX;143.285123;2024-10-01
PAR;377.073906;2024-10-01
WEX;91.850644;2024-10-01
WRLD;169.943171;2024-10-01
GPN;194.844963;2024-10-01
MA;39.143528;2024-10-01
CPAY;61.079146;2024-10-01
ACIW;381.10918;2024-10-01
TBBK;382.93049;2024-10-01
TFIN;251.185596;2024-10-01
MCB;385.911275;2024-10-01
LC;1724.732666;2024-10-01
FLYW;1206.447254;2024-10-01
QTWO;247.086846;2024-10-01
VIRT;650.450671;2024-10-01
CWEN;680.776161;2024-10-01
HOOD;861.207758;2024-10-01
TOST;673.346262;2024-10-01
RPAY;2406.854722;2024-10-01
BILL;375.234522;2024-10-01
LPRO;3253.937264;2024-10-01
CPNG;787.178438;2024-10-01
CMPO;1391.658289;2024-10-01
OPFI;4015.86427;2024-10-01
AFRM;499.760115;2024-10-01
HIPO;1167.624118;2024-10-01
PSFE;878.518466;2024-10-01
PAYO;2517.116391;2024-10-01
COIN;116.543053;2024-10-01
PAY;31.255877;2024-10-01
MQ;3989.786147;2024-10-01
RELY;1436.203826;2024-10-01
AVDX;2440.452948;2024-10-01
