ticker;shares;costdate
NEO;4962.779156;2025-05-19
LYC;5277.044855;2025-05-19
VNP;4592.422503;2025-05-19
UURAF;38461.538462;2025-05-19
CODI;5089.058524;2025-05-19
METSO;3883.005058;2025-05-19
ARU;235294.117647;2025-05-19
ILU;10498.687664;2025-05-19
PPTA;3132.341425;2025-05-19
MP;1882.352941;2025-05-19
SOLB;1418.731512;2025-05-19
BRE;21276.595745;2025-05-19
UMI;4681.100059;2025-05-19
NDM;31496.062992;2025-05-19
IDR;1267.202271;2025-05-19
MKA;2461.538462;2025-05-19
UAMY;14652.014652;2025-05-19
CRML;27586.206897;2025-05-19
USAR;4127.966976;2025-05-19
IONR;11396.011396;2025-05-19
REEMF;56497.175141;2025-05-19
TMC;8988.764045;2025-05-19
NB;16806.722689;2025-05-19
AREC;860.215054;2025-05-19
NVX;29000.217502;2025-05-19
