ticker;shares;costdate
CRM;73.211641;2026-04-27
NOW;136.794789;2026-04-27
ADBE;55.096449;2026-04-27
INTU;33.83631;2026-04-27
ORCL;75.612023;2026-04-27
WDAY;106.059385;2026-04-27
SNOW;90.815633;2026-04-27
DDOG;105.952743;2026-04-27
MDB;52.398845;2026-04-27
CFLT;442.033886;2026-04-27
ESTC;283.088038;2026-04-27
PLTR;93.845517;2026-04-27
PATH;1270.744911;2026-04-27
AI;73.474738;2026-04-27
CRWD;30.467806;2026-04-27
PANW;78.295783;2026-04-27
ZS;98.120694;2026-04-27
OKTA;176.437792;2026-04-27
S;947.346483;2026-04-27
NET;65.963452;2026-04-27
FTNT;160.668897;2026-04-27
RBRK;285.209872;2026-04-27
CYBR;33.505271;2026-04-27
VRNS;557.081339;2026-04-27
TENB;681.184989;2026-04-27
QLYS;158.769473;2026-04-27
TEAM;192.342462;2026-04-27
ZM;150.600595;2026-04-27
DOCU;287.786347;2026-04-27
ASAN;2177.842629;2026-04-27
BOX;563.034531;2026-04-27
DBX;557.081339;2026-04-27
DT;383.500284;2026-04-27
PD;2088.205814;2026-04-27
FSLY;515.761677;2026-04-27
GTLB;682.202696;2026-04-27
APP;27.901723;2026-04-27
VEEV;81.641517;2026-04-27
TYL;40.117818;2026-04-27
PCTY;132.22616;2026-04-27
PAYC;105.01863;2026-04-27
PAYO;2649.638324;2026-04-27
DAY;195.764632;2026-04-27
NCNO;751.433359;2026-04-27
BLKB;354.703007;2026-04-27
PEGA;348.654368;2026-04-27
HUBS;59.440381;2026-04-27
ZI;1298.448354;2026-04-27
BILL;344.359732;2026-04-27
FRSH;1551.373741;2026-04-27
BL;434.050385;2026-04-27
BIGC;3050.919852;2026-04-27
BRZE;578.001272;2026-04-27
WIX;62.125307;2026-04-27
SEMR;1142.504599;2026-04-27
EPAM;103.683244;2026-04-27
APPF;86.33409;2026-04-27
APPN;630.111782;2026-04-27
DUOL;133.475886;2026-04-27
RNG;331.365025;2026-04-27
FIVN;830.723477;2026-04-27
GWRE;97.125852;2026-04-27
MANH;101.554082;2026-04-27
ADSK;55.842119;2026-04-27
PTC;97.201661;2026-04-27
CDNS;42.040971;2026-04-27
SNPS;29.296869;2026-04-27
ANSS;36.597997;2026-04-27
U;539.103901;2026-04-27
ROP;37.744552;2026-04-27
FICO;13.213688;2026-04-27
TWLO;94.278253;2026-04-27
SAIL;1231.891199;2026-04-27
