ticker;shares;costdate
CRM;213.777992;2026-04-27
NOW;399.440783;2026-04-27
ADBE;160.881631;2026-04-27
INTU;98.802025;2026-04-27
WDAY;309.693404;2026-04-27
SNOW;265.181649;2026-04-27
DDOG;309.382009;2026-04-27
MDB;153.004628;2026-04-27
PLTR;274.02891;2026-04-27
CRWD;88.965993;2026-04-27
PANW;228.623685;2026-04-27
ZS;286.512427;2026-04-27
OKTA;515.198351;2026-04-27
NET;192.613281;2026-04-27
FTNT;469.153179;2026-04-27
S;2766.251729;2026-04-27
TEAM;561.639989;2026-04-27
DT;1119.820829;2026-04-27
HUBS;173.565912;2026-04-27
VEEV;238.39323;2026-04-27
APP;81.473032;2026-04-27
GTLB;1992.031873;2026-04-27
RBRK;832.812825;2026-04-27
BILL;1005.530417;2026-04-27
CFLT;1290.738948;2026-04-27
