ticker;shares;costdate
LITE;248.833593;2025-09-26
VIAV;3276.003276;2025-09-26
CIEN;281.829071;2025-09-26
COHR;373.866717;2025-09-26
NOK;8651.82878;2025-09-26
GLW;506.759539;2025-09-26
NDA;392.21608;2025-09-26
LUMN;6756.756757;2025-09-26
COMM;2597.402597;2025-09-26
APH;327.539434;2025-09-26
SBAC;208.502959;2025-09-26
HON;206.091339;2025-09-26
BDC;322.555413;2025-09-26
NEX;314.218382;2025-09-26
BRC;521.091165;2025-09-26
TEL;185.476538;2025-09-26
MSI;88.143333;2025-09-26
T;1460.003212;2025-09-26
AMT;211.830747;2025-09-26
CCI;429.953576;2025-09-26
EXTR;1965.601966;2025-09-26
ALLE;230.143374;2025-09-26
TMUS;170.090807;2025-09-26
PCOR;545.033383;2025-09-26
BSY;766.678614;2025-09-26
