ticker;shares;costdate
BE;406.305867;2025-09-26
298040;0.028571;2025-09-26
POWL;294.958278;2025-09-26
GEV;47.295272;2025-09-26
ENS;256.793438;2025-09-26
267250;0.193025;2025-09-26
SEI;722.818588;2025-09-26
ENR;290.653063;2025-09-26
CAT;61.781258;2025-09-26
CENER;2282.062985;2025-09-26
CMI;68.872025;2025-09-26
WEGE3;816.485162;2025-09-26
WRT1V;1148.87264;2025-09-26
ABBN;511.181717;2025-09-26
BKR;570.377935;2025-09-26
GNRC;169.795142;2025-09-26
373220;0.081867;2025-09-26
BAS;672.427126;2025-09-26
AME;153.779319;2025-09-26
TEX;554.947734;2025-09-26
SU;121.451344;2025-09-26
ETN;78.609489;2025-09-26
KMI;1034.173755;2025-09-26
WMB;453.289533;2025-09-26
FLNC;2398.944464;2025-09-26
ATO;583.924557;2025-09-26
EQT;531.573329;2025-09-26
RTX;176.183808;2025-09-26
SIE;127.557797;2025-09-26
JMAT;14.600859;2025-09-26
TE;709.672841;2025-09-26
WAC;1292.824822;2025-09-26
CRK;1449.590491;2025-09-26
TSLA;64.876087;2025-09-26
MTX;76.516949;2025-09-26
