ticker;shares;costdate
3037;203.252033;2025-11-24
2383;25.252525;2025-11-24
LITE;111.348655;2025-11-24
000660;0.064267;2025-11-24
002281;585.30875;2025-11-24
2368;61.728395;2025-11-24
AMKR;1009.847018;2025-11-24
ASX;2354.048964;2025-11-24
TTMI;513.294323;2025-11-24
MU;148.978721;2025-11-24
CC;2913.345453;2025-11-24
COHR;219.572712;2025-11-24
INTC;931.358853;2025-11-24
300308;72.971395;2025-11-24
2454;29.547393;2025-11-24
300502;113.765643;2025-11-24
HUBN;238.700685;2025-11-24
3715;307.219662;2025-11-24
TSM;117.672365;2025-11-24
300476;133.232343;2025-11-24
SNPS;82.379787;2025-11-24
CLS;103.346355;2025-11-24
2382;122.54902;2025-11-24
007660;0.266987;2025-11-24
CDNS;109.479861;2025-11-24
APH;242.70101;2025-11-24
AVGO;88.546862;2025-11-24
2316;375.798572;2025-11-24
300456;949.397133;2025-11-24
6191;300.3003;2025-11-24
