ticker;shares;costdate
LMT;64.755725;2026-04-27
NOC;60.604187;2026-04-27
GD;113.778069;2026-04-27
RTX;197.879131;2026-04-27
LHX;108.83643;2026-04-27
BA;168.995424;2026-04-27
HII;97.927175;2026-04-27
TXT;407.941811;2026-04-27
CW;51.475361;2026-04-27
HEI;196.066898;2026-04-27
TDG;30.71905;2026-04-27
AXON;91.467542;2026-04-27
BWXT;170.945431;2026-04-27
KTOS;540.292298;2026-04-27
AVAV;187.786022;2026-04-27
MRCY;444.302268;2026-04-27
DRS;857.33882;2026-04-27
LDOS;241.756116;2026-04-27
CACI;71.447658;2026-04-27
SAIC;385.24066;2026-04-27
BAH;457.247371;2026-04-27
PSN;681.20355;2026-04-27
RKLB;427.48196;2026-04-27
RCAT;2930.145335;2026-04-27
AIRO;4670.496474;2026-04-27
ONDS;3510.619624;2026-04-27
KRMN;410.701231;2026-04-27
