ticker;shares;costdate
AMKR;78160;2025-09-22
GOOG;9349;2024-10-29
BABA;17924;2025-09-07
TSEM;22276;2025-08-24
ASX;158821;2025-11-30
SNPS;5374;2025-11-30
AMAT;9246;2025-11-04
META;3675;2025-11-30
SITM;6153;2025-11-30
FICO;999;2025-03-30
MTSI;10220;2025-11-30
FORM;32212;2025-09-23
CC;137577;2025-11-30
TCEHY;22134;2025-08-06
VRT;10173;2025-09-09
DDOG;10293;2025-09-22
BIDU;10809;2025-11-05
SANM;8182;2025-11-04
IOT;31598;2025-10-05
TEL;5217;2025-11-30
AKAM;13577;2025-11-10
AMD;5359;2025-01-23
WULF;76971;2025-11-30
MPWR;1158;2025-11-04
ALAB;7129;2025-09-22
FSLY;100554;2025-11-10
IDCC;2538;2025-09-30
SONY;29990;2025-10-05
TIC;985510;2025-09-17
