<<<<<<< HEAD
ticker;shares;costdate
DLO;70;2025-01-27
TER;9;2025-01-27
SQM;8;2025-01-27
TRI;5;2025-01-27
EQT;17;2025-01-27
NBIS;6;2025-01-27
AMKR;35;2025-01-27
MP;8;2025-01-27
RKT;30;2025-01-27
AMZN;5;2025-01-27
GOOG;4;2025-01-27
BE;12;2025-01-27
LLY;1;2025-01-27
MTSI;4;2025-01-27
AVIO;15;2025-01-27
BABA;8;2025-01-27
AMD;3;2025-01-27
NU;50;2025-01-27
INTC;45;2025-01-27
EME;1;2025-01-27
TIC;160;2025-01-27
SNPS;4;2025-01-27
OUST;45;2025-01-27
KLIC;10;2025-01-27
SITM;2;2025-01-27
SYNA;10;2025-01-27
GTLB;20;2025-01-27
FORM;12;2025-01-27
=======
ticker;shares;costdate
DLO;70;2025-01-27
TER;9;2025-01-27
SQM;8;2025-01-27
TRI;5;2025-01-27
EQT;17;2025-01-27
NBIS;6;2025-01-27
AMKR;35;2025-01-27
MP;8;2025-01-27
RKT;30;2025-01-27
AMZN;5;2025-01-27
GOOG;4;2025-01-27
BE;12;2025-01-27
LLY;1;2025-01-27
MTSI;4;2025-01-27
AVIO;15;2025-01-27
BABA;8;2025-01-27
AMD;3;2025-01-27
NU;50;2025-01-27
INTC;45;2025-01-27
EME;1;2025-01-27
TIC;160;2025-01-27
SNPS;4;2025-01-27
OUST;45;2025-01-27
KLIC;10;2025-01-27
SITM;2;2025-01-27
SYNA;10;2025-01-27
GTLB;20;2025-01-27
FORM;12;2025-01-27
>>>>>>> 19dde37b83c378e4960c4ec0d65165e18eb451c1
