ticker,country_code,region,company_name,current_day_weight_pct,cost_date,snapshot_date,basket_name,source_file,flag
NVTS,US,US,NAVITAS SEMICONDUCTOR CORP,11.9855866834051,2024-12-19,2026-04-26,Capacitors,25TF25_ Capacitors-active-holdings-2026-04-26.xlsx,
MXL,US,US,MAXLINEAR INC,6.12637969515358,2024-12-19,2026-04-26,Capacitors,25TF25_ Capacitors-active-holdings-2026-04-26.xlsx,
LFUS,US,US,LITTELFUSE INC,3.44024043369661,2024-12-19,2026-04-26,Capacitors,25TF25_ Capacitors-active-holdings-2026-04-26.xlsx,
VSH,US,US,VISHAY INTERTECHNOLOGY INC,3.33288999034161,2024-12-19,2026-04-26,Capacitors,25TF25_ Capacitors-active-holdings-2026-04-26.xlsx,
MCHP,US,US,MICROCHIP TECHNOLOGY INC,3.22944409114819,2024-12-19,2026-04-26,Capacitors,25TF25_ Capacitors-active-holdings-2026-04-26.xlsx,
KN,US,US,KNOWLES CORP,3.0532320817183,2024-12-19,2026-04-26,Capacitors,25TF25_ Capacitors-active-holdings-2026-04-26.xlsx,
ON,US,US,ON SEMICONDUCTOR,2.9596421196259,2024-12-19,2026-04-26,Capacitors,25TF25_ Capacitors-active-holdings-2026-04-26.xlsx,
POWI,US,US,POWER INTEGRATIONS INC,2.39576777759281,2024-12-19,2026-04-26,Capacitors,25TF25_ Capacitors-active-holdings-2026-04-26.xlsx,
NXPI,US,US,NXP SEMICONDUCTORS NV,2.34963026269876,2024-12-19,2026-04-26,Capacitors,25TF25_ Capacitors-active-holdings-2026-04-26.xlsx,
AOSL,US,US,ALPHA & OMEGA SEMICONDUCTOR,2.30898630514528,2024-12-19,2026-04-26,Capacitors,25TF25_ Capacitors-active-holdings-2026-04-26.xlsx,
CTS,US,US,CTS CORP,2.10566116410138,2024-12-19,2026-04-26,Capacitors,25TF25_ Capacitors-active-holdings-2026-04-26.xlsx,
ONDS,US,US,ONDAS HOLDINGS INC,19.2866527057537,2024-12-19,2026-04-26,Electronic Warfare,25TF25_ Electronic Warfare-active-holdings-2026-04-26.xlsx,
ESLT,US,US,ELBIT SYSTEMS LTD,7.95006444353496,2024-12-19,2026-04-26,Electronic Warfare,25TF25_ Electronic Warfare-active-holdings-2026-04-26.xlsx,
KTOS,US,US,KRATOS DEFENSE & SECURITY,5.94947240048251,2024-12-19,2026-04-26,Electronic Warfare,25TF25_ Electronic Warfare-active-holdings-2026-04-26.xlsx,
MRCY,US,US,MERCURY SYSTEMS INC,4.96932687625311,2024-12-19,2026-04-26,Electronic Warfare,25TF25_ Electronic Warfare-active-holdings-2026-04-26.xlsx,
CODA,US,US,CODA OCTOPUS GROUP INC,3.87313231143747,2024-12-19,2026-04-26,Electronic Warfare,25TF25_ Electronic Warfare-active-holdings-2026-04-26.xlsx,
TDY,US,US,TELEDYNE TECHNOLOGIES INC,3.46869814847379,2024-12-19,2026-04-26,Electronic Warfare,25TF25_ Electronic Warfare-active-holdings-2026-04-26.xlsx,
RCAT,US,US,RED CAT HOLDINGS INC,3.22926426061908,2024-12-19,2026-04-26,Electronic Warfare,25TF25_ Electronic Warfare-active-holdings-2026-04-26.xlsx,
CACI,US,US,CACI INTERNATIONAL INC -CL A,3.21118992141666,2024-12-19,2026-04-26,Electronic Warfare,25TF25_ Electronic Warfare-active-holdings-2026-04-26.xlsx,
DRS,US,US,LEONARDO DRS INC,3.14816932884423,2024-12-19,2026-04-26,Electronic Warfare,25TF25_ Electronic Warfare-active-holdings-2026-04-26.xlsx,
AVAV,US,US,AEROVIRONMENT INC,3.01534163506562,2024-12-19,2026-04-26,Electronic Warfare,25TF25_ Electronic Warfare-active-holdings-2026-04-26.xlsx,
MPTI,US,US,M-TRON INDUSTRIES INC,2.97924453080542,2024-12-19,2026-04-26,Electronic Warfare,25TF25_ Electronic Warfare-active-holdings-2026-04-26.xlsx,
LDOS,US,US,LEIDOS HOLDINGS INC,2.56836974992272,2024-12-19,2026-04-26,Electronic Warfare,25TF25_ Electronic Warfare-active-holdings-2026-04-26.xlsx,
SAIC,US,US,SCIENCE APPLICATIONS INTE,2.2043782112796,2024-12-19,2026-04-26,Electronic Warfare,25TF25_ Electronic Warfare-active-holdings-2026-04-26.xlsx,
PSN,US,US,PARSONS CORP,1.397374281715,2024-12-19,2026-04-26,Electronic Warfare,25TF25_ Electronic Warfare-active-holdings-2026-04-26.xlsx,
KULR,US,US,KULR TECHNOLOGY GROUP INC,0.333231954127466,2024-12-19,2026-04-26,Electronic Warfare,25TF25_ Electronic Warfare-active-holdings-2026-04-26.xlsx,
TTMI,US,US,TTM TECHNOLOGIES,4.86577999475306,2025-12-17,2026-04-26,AI Materials Downstream,26TF26_ AI Materials Downstream-active-holdings-2026-04-26.xlsx,
ASX,US,US,ASE TECHNOLOGY HOLDING -ADR,4.36248038537137,2025-12-17,2026-04-26,AI Materials Downstream,26TF26_ AI Materials Downstream-active-holdings-2026-04-26.xlsx,
AMKR,US,US,AMKOR TECHNOLOGY INC,4.0484750718873,2025-12-17,2026-04-26,AI Materials Downstream,26TF26_ AI Materials Downstream-active-holdings-2026-04-26.xlsx,
CLS,US,US,CELESTICA INC,2.99048639545377,2025-12-17,2026-04-26,AI Materials Downstream,26TF26_ AI Materials Downstream-active-holdings-2026-04-26.xlsx,
SANM,US,US,SANMINA CORP,2.70457368565047,2025-12-17,2026-04-26,AI Materials Downstream,26TF26_ AI Materials Downstream-active-holdings-2026-04-26.xlsx,
MKSI,US,US,MKS INC,4.64967138933408,2025-12-17,2026-04-26,AI Materials Midstream,26TF26_ AI Materials Midstream -active-holdings-2026-04-26.xlsx,
PKE,US,US,PARK AEROSPACE CORP,4.11051179131725,2025-12-17,2026-04-26,AI Materials Midstream,26TF26_ AI Materials Midstream -active-holdings-2026-04-26.xlsx,
KLAC,US,US,KLA CORP,4.06382173747707,2025-12-17,2026-04-26,AI Materials Midstream,26TF26_ AI Materials Midstream -active-holdings-2026-04-26.xlsx,
