<<<<<<< HEAD
Ticker;Name;Sector;Asset Class;Location;Exchange
NVDA;NVIDIA CORP;Information Technology;Equity;United States;NASDAQ
AAPL;APPLE INC;Information Technology;Equity;United States;NASDAQ
MSFT;MICROSOFT CORP;Information Technology;Equity;United States;NASDAQ
AMZN;AMAZON COM INC;Consumer Discretionary;Equity;United States;NASDAQ
GOOGL;ALPHABET INC CLASS A;Communication;Equity;United States;NASDAQ
META;META PLATFORMS INC CLASS A;Communication;Equity;United States;NASDAQ
GOOG;ALPHABET INC CLASS C;Communication;Equity;United States;NASDAQ
AVGO;BROADCOM INC;Information Technology;Equity;United States;NASDAQ
TSLA;TESLA INC;Consumer Discretionary;Equity;United States;NASDAQ
BRKB;BERKSHIRE HATHAWAY INC CLASS B;Financials;Equity;United States;New York Stock Exchange Inc.
JPM;JPMORGAN CHASE & CO;Financials;Equity;United States;New York Stock Exchange Inc.
LLY;ELI LILLY;Health Care;Equity;United States;New York Stock Exchange Inc.
XOM;EXXON MOBIL CORP;Energy;Equity;United States;New York Stock Exchange Inc.
V;VISA INC CLASS A;Financials;Equity;United States;New York Stock Exchange Inc.
JNJ;JOHNSON & JOHNSON;Health Care;Equity;United States;New York Stock Exchange Inc.
WMT;WALMART INC;Consumer Staples;Equity;United States;NASDAQ
MU;MICRON TECHNOLOGY INC;Information Technology;Equity;United States;NASDAQ
MA;MASTERCARD INC CLASS A;Financials;Equity;United States;New York Stock Exchange Inc.
COST;COSTCO WHOLESALE CORP;Consumer Staples;Equity;United States;NASDAQ
AMD;ADVANCED MICRO DEVICES INC;Information Technology;Equity;United States;NASDAQ
ABBV;ABBVIE INC;Health Care;Equity;United States;New York Stock Exchange Inc.
HD;HOME DEPOT INC;Consumer Discretionary;Equity;United States;New York Stock Exchange Inc.
BAC;BANK OF AMERICA CORP;Financials;Equity;United States;New York Stock Exchange Inc.
NFLX;NETFLIX INC;Communication;Equity;United States;NASDAQ
PG;PROCTER & GAMBLE;Consumer Staples;Equity;United States;New York Stock Exchange Inc.
PLTR;PALANTIR TECHNOLOGIES INC CLASS A;Information Technology;Equity;United States;NASDAQ
CVX;CHEVRON CORP;Energy;Equity;United States;New York Stock Exchange Inc.
CSCO;CISCO SYSTEMS INC;Information Technology;Equity;United States;NASDAQ
LRCX;LAM RESEARCH CORP;Information Technology;Equity;United States;NASDAQ
GE;GE AEROSPACE;Industrials;Equity;United States;New York Stock Exchange Inc.
CAT;CATERPILLAR INC;Industrials;Equity;United States;New York Stock Exchange Inc.
IBM;INTERNATIONAL BUSINESS MACHINES CO;Information Technology;Equity;United States;New York Stock Exchange Inc.
KO;COCA-COLA;Consumer Staples;Equity;United States;New York Stock Exchange Inc.
WFC;WELLS FARGO;Financials;Equity;United States;New York Stock Exchange Inc.
ORCL;ORACLE CORP;Information Technology;Equity;United States;New York Stock Exchange Inc.
PM;PHILIP MORRIS INTERNATIONAL INC;Consumer Staples;Equity;United States;New York Stock Exchange Inc.
GS;GOLDMAN SACHS GROUP INC;Financials;Equity;United States;New York Stock Exchange Inc.
AMAT;APPLIED MATERIAL INC;Information Technology;Equity;United States;NASDAQ
MRK;MERCK & CO INC;Health Care;Equity;United States;New York Stock Exchange Inc.
RTX;RTX CORP;Industrials;Equity;United States;New York Stock Exchange Inc.
UNH;UNITEDHEALTH GROUP INC;Health Care;Equity;United States;New York Stock Exchange Inc.
MCD;MCDONALDS CORP;Consumer Discretionary;Equity;United States;New York Stock Exchange Inc.
TMO;THERMO FISHER SCIENTIFIC INC;Health Care;Equity;United States;New York Stock Exchange Inc.
KLAC;KLA CORP;Information Technology;Equity;United States;NASDAQ
INTC;INTEL CORPORATION CORP;Information Technology;Equity;United States;NASDAQ
LIN;LINDE PLC;Materials;Equity;United States;NASDAQ
MS;MORGAN STANLEY;Financials;Equity;United States;New York Stock Exchange Inc.
C;CITIGROUP INC;Financials;Equity;United States;New York Stock Exchange Inc.
PEP;PEPSICO INC;Consumer Staples;Equity;United States;NASDAQ
DIS;WALT DISNEY;Communication;Equity;United States;New York Stock Exchange Inc.
CRM;SALESFORCE INC;Information Technology;Equity;United States;New York Stock Exchange Inc.
TXN;TEXAS INSTRUMENT INC;Information Technology;Equity;United States;NASDAQ
GEV;GE VERNOVA INC;Industrials;Equity;United States;New York Stock Exchange Inc.
AXP;AMERICAN EXPRESS;Financials;Equity;United States;New York Stock Exchange Inc.
AMGN;AMGEN INC;Health Care;Equity;United States;NASDAQ
