,Mean (%),Vol (%),t-stat
Country,10.499709525928305,19.181764927464943,0.538621100444519
Communication,-5.304682318150933,7.426028373742781,-0.7029062726189225
Consumer Discretionary,-7.095962252855668,8.818558360404968,-0.7917869617269234
Consumer Staples,10.483441513341322,12.729632600984067,0.810368684584908
Energy,-0.4458094056322851,19.971201807900933,-0.021965427975327877
Financials,-5.310543451079009,8.000163630151848,-0.6531827991124418
Health Care,4.909268530264414,11.953800710881909,0.40411541754196834
Industrials,12.684572310268063,6.440556882344622,1.937970005679276
Information Technology,-2.3854398376360115,7.66428269972095,-0.3062609287116624
Materials,16.49362466498212,10.651865496479305,1.5236495098275098
Real Estate,2.500898599410592,9.359317192129273,0.2629338860298754
Utilities,21.540746868447773,13.571130039839357,1.5618502378091343
size,-0.22707203062101797,4.681556274700619,-0.04772742878500672
beta,13.64556096490827,8.45069183062838,1.58888978216424
momentum,8.62103727216987,7.32148499756544,1.1586572639768613
residvol,-7.669142709526344,6.746681311412808,-1.1185393470191136
nlsize,-5.072452510861714,2.786290836214369,-1.791373667477921
btop,5.960782771167624,2.3184907199703106,2.5298372093724364
liquidity,0.23448967704575432,4.5824809563793565,0.050352113260085506
earnyild,4.632050056645049,1.9426723763482083,2.346217781824874
growth,-1.454158439654892,2.8856348027046628,-0.4958667680393882
leverage,-0.824944541332975,2.312091157160821,-0.3510867529991554
