,Country,Automobiles & Components,Banks,Capital Goods,Commercial & Professional Services,Consumer Discretionary Distribution & Retail,Consumer Durables & Apparel,Consumer Services,Consumer Staples Distribution & Retail,Energy,Financial Services,"Food, Beverage & Tobacco",Health Care Equipment & Services,Household & Personal Products,Materials,Media & Entertainment,"Pharmaceuticals, Biotechnology & Life Sciences",Real Estate Management & Development,Semiconductors & Semiconductor Equipment,Software & Services,Technology Hardware & Equipment,Telecommunication Services,Transportation,Utilities,size,beta,momentum,residvol,nlsize,btop,liquidity,earnyild,growth,leverage
Country,0.00022435207058895505,3.6528422840325333e-06,-5.808365149197966e-06,-3.2887454668106964e-06,-6.644864504244049e-06,2.14380767089685e-06,3.03121599198219e-06,5.962056527087271e-06,2.0471782101487585e-05,7.631913873760348e-07,-3.254631267348922e-06,-4.264191243736205e-06,1.5057381110422067e-07,-8.210068577209416e-07,7.939721155734958e-06,-1.4754053304158525e-05,-4.99904423960544e-06,1.513019542181451e-05,2.7884181903761372e-06,-1.0441543260332462e-05,-6.212298256957786e-07,3.491719143351095e-07,4.691478366019259e-06,7.792493949290276e-06,2.396257125784179e-06,9.28981900064508e-05,1.3227008270982107e-05,-1.2022764378245967e-05,-2.6686866157334558e-06,-9.123937874462131e-07,6.454271100658066e-06,1.06979124294333e-06,-2.985785184959167e-06,1.1737171593031537e-06
Automobiles & Components,3.652842284032535e-06,5.6536008008424784e-05,-8.344483231351726e-06,7.8473969023902e-06,-4.507971081996422e-06,-8.755682675236806e-06,6.305527193280076e-06,-1.5174574413233296e-05,-1.0295781460251342e-05,-1.6503624356287294e-05,-5.99357782105955e-06,-1.2860061046020781e-05,-9.807358717870784e-06,-8.366142023141166e-06,-1.247470385601001e-05,-6.255459312732315e-06,-7.5882525883439795e-06,-6.7007259906100455e-06,-4.366150714569334e-06,-3.4770103317661136e-06,1.8569245171226805e-06,-7.61326158407798e-07,-1.3320065282827583e-06,-1.4245791619285695e-05,-3.101993921509548e-06,6.385463392314994e-08,-8.403520049005159e-07,4.197631692870185e-07,1.3597289781590213e-06,-3.2162595266853157e-06,-2.207002481268704e-07,-1.5066485729546725e-06,-2.0351016008000884e-06,3.23180257403863e-07
Banks,-5.808365149197967e-06,-8.344483231351728e-06,0.00010603698779404083,-1.266537095228499e-05,6.7369949895184015e-06,1.724899798473947e-05,1.4877583603314238e-05,2.0751615331315017e-05,1.6738310881722757e-05,-3.592483238642375e-06,2.8078386268092725e-05,1.7754233691176317e-05,7.819262726328363e-06,3.815664542570061e-06,-2.1974052445509534e-05,2.407201149589961e-05,1.2793052913765896e-05,-6.3286593984442785e-06,-1.873049977965139e-05,8.460098360793775e-06,-4.993450019813862e-06,1.1871496347373301e-05,2.4554232093728245e-05,4.168163686920213e-06,-1.7023216737437336e-06,1.320456704442397e-05,9.668649762643058e-07,8.631823975089129e-06,-3.1587005018345468e-06,7.373830764004222e-07,-1.0552024199224996e-05,-2.967290077588675e-06,-1.7738773534553028e-06,-5.5142114196153835e-06
Capital Goods,-3.2887454668106973e-06,7.8473969023902e-06,-1.266537095228499e-05,1.8093459885044134e-05,-5.863086872446923e-06,-2.3541686011806972e-05,-1.1524167707691667e-06,-9.070763140578159e-06,-1.5721664249229725e-05,1.1701633032432533e-06,-1.07850088755535e-05,-1.4410512747873248e-05,-1.6340693027919814e-05,-1.1786317458382309e-05,-3.0580036439584343e-06,-2.3136598086605625e-05,-1.4169533819850905e-05,-4.5461138835338536e-06,2.751056333546398e-06,-1.6289113422449424e-05,2.1033348650619715e-06,-2.1479131795827316e-05,-2.8009626287518924e-06,4.527972608540366e-06,-2.8420647242376334e-08,-2.7517406414189287e-06,-1.4475246666590122e-06,8.016615115271975e-07,8.247709041485804e-07,-1.5663659158259863e-07,1.4297855710970582e-06,6.100997656944186e-07,1.4920984232301716e-06,4.141834686322422e-07
Commercial & Professional Services,-6.644864504244049e-06,-4.507971081996425e-06,6.736994989518402e-06,-5.863086872446923e-06,7.966388716142248e-05,1.2750571717244844e-05,-4.047166064804624e-06,5.077453120603207e-06,4.572778359467783e-06,1.0174429179959464e-05,7.226319132832399e-06,9.335729776219707e-06,3.996641051175382e-06,1.092032722203944e-05,4.905221304762018e-06,1.0355541779425122e-05,-2.905609478848665e-06,4.242296126245532e-06,-5.987493067596902e-06,8.204413698835923e-06,-8.68985959232208e-06,-3.468968502327526e-06,5.778196145845477e-06,1.164425415631719e-05,-1.018449632985981e-06,-6.377730278669581e-06,-2.585242307896717e-06,1.3216673841484053e-06,1.2351517351180181e-06,7.568785553510857e-07,6.769384262896036e-07,-8.783850465756455e-07,-2.8613110337241646e-06,1.7076485094136755e-06
Consumer Discretionary Distribution & Retail,2.143807670896843e-06,-8.755682675236806e-06,1.724899798473947e-05,-2.3541686011806972e-05,1.2750571717244845e-05,0.00015339269409040654,8.339625796580308e-06,4.082032180297021e-05,6.284728125336323e-05,-1.5242539135116599e-05,2.5500953110978003e-05,2.9570371255242863e-05,3.2808899026033904e-05,1.6954247147246056e-05,-9.649596664002985e-06,9.04257936202065e-05,1.555171502356388e-05,1.1910150854230184e-05,-2.2269184044269482e-05,4.575742805488381e-05,-1.5731225689505644e-05,5.006699825759076e-05,2.0040745918334875e-06,-1.2302070781540024e-05,-6.708925752795833e-07,1.0396704401511934e-06,-6.461194650864491e-06,-2.2659528886289405e-07,1.0005658908909538e-07,8.601542795337701e-07,-6.025512037657439e-07,-3.2658810816253456e-06,-2.323829600121633e-06,-1.5509844736609194e-06
Consumer Durables & Apparel,3.0312159919821914e-06,6.3055271932800756e-06,1.487758360331424e-05,-1.1524167707691663e-06,-4.047166064804624e-06,8.339625796580308e-06,3.6157181943875154e-05,1.1589109635838269e-05,1.0592773128701262e-05,-6.092277716037241e-06,-4.925676761502219e-06,-1.2032069095621935e-06,-1.3045326009569455e-06,1.0951326848443047e-06,-6.291103895582858e-06,6.818392101536661e-06,3.816656689649895e-06,5.272427539664432e-07,-1.2423743342031554e-05,6.248314265716889e-07,-6.0140570113858936e-06,1.1490861841165205e-05,3.545945076922989e-06,-9.41413396422486e-06,1.1725570898927048e-06,6.092993409925135e-06,-2.7989612103458803e-06,3.555525711039304e-06,-6.640852400706725e-07,-5.75175877507504e-07,-6.9001611955935325e-06,8.104936340913829e-07,7.948952875494651e-07,-9.859986031796528e-08
Consumer Services,5.96205652708727e-06,-1.5174574413233301e-05,2.0751615331315017e-05,-9.070763140578157e-06,5.07745312060321e-06,4.082032180297021e-05,1.1589109635838267e-05,0.0002036484354548576,3.781318393084672e-05,-9.278085617749352e-06,1.4669328741149299e-05,3.058906141011825e-05,1.6966700893722777e-05,7.953582139417913e-06,-4.1950691068382843e-07,2.359509818662554e-05,2.279964126760169e-05,4.068657592222003e-05,-1.870810656366531e-05,-7.376834395807634e-06,-1.8791935988620452e-05,5.3706896016581784e-06,8.460833637176581e-06,-1.2134111033392275e-05,2.7682345373534087e-06,5.459034859156005e-06,-4.621952499344793e-06,1.0909789748447101e-06,-1.1492827370453348e-06,2.8370746802880848e-06,-6.022373611690082e-06,3.9634901308955874e-07,1.3182169309126172e-06,-2.2304170055248792e-06
Consumer Staples Distribution & Retail,2.04717821014876e-05,-1.0295781460251344e-05,1.6738310881722764e-05,-1.5721664249229725e-05,4.5727783594677846e-06,6.284728125336325e-05,1.0592773128701263e-05,3.781318393084673e-05,0.000510729474398031,-9.41939679234217e-06,7.989590480087978e-06,4.7804425278788326e-05,-2.0270131171152023e-06,1.1270450108024136e-05,2.087179813199752e-06,-5.471226176868356e-06,-1.8488497766012734e-05,2.3252964480469872e-05,-1.6260386514855085e-05,-3.188006210636628e-06,-4.836175644346017e-06,-6.235181171335016e-06,3.400113983273478e-06,1.7248963126905738e-05,8.5449136992989e-06,1.4993440870947885e-05,1.263618594105509e-05,-5.611259478205608e-06,-1.29151744661379e-06,5.535245387370082e-06,-1.1203023268372917e-05,-5.095998416727531e-06,5.180922025781436e-06,-5.824005324507521e-07
Energy,7.631913873760347e-07,-1.650362435628729e-05,-3.5924832386423744e-06,1.1701633032432533e-06,1.0174429179959463e-05,-1.5242539135116599e-05,-6.092277716037242e-06,-9.278085617749357e-06,-9.419396792342168e-06,0.00010234522479351411,-1.0244845339868941e-05,-5.853592038510427e-07,-8.022672071634668e-06,1.213522956480274e-05,2.3818180531919988e-05,-3.9215855730220296e-05,-1.0909307319403646e-05,-1.2033529914601702e-06,-9.627385868424632e-06,-2.384006849325718e-05,-7.109709389288925e-06,-3.555314417857223e-05,6.817856267825806e-06,3.00869258763165e-05,2.85275207146286e-06,-9.214645807335196e-07,2.7071748193368632e-06,-2.9376881673532756e-06,4.337146109838446e-07,1.7950459328949345e-06,1.3934061337481192e-06,2.145529188515194e-06,9.863666592173282e-07,2.3319538743489056e-06
