,Country,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities,size,beta,momentum,residvol,nlsize,btop,liquidity,earnyild,growth,leverage
Country,0.0001107609108369013,1.10259430094224e-05,1.464506920687411e-06,7.765141651811921e-06,-4.232570280332318e-06,-1.2105689958669316e-06,2.3330146695290755e-06,-3.783867630910642e-07,-1.1492346391561125e-05,-3.1783934908635884e-06,1.0587652329336802e-05,1.0549862260385541e-05,3.6196077062253237e-06,5.460644036953866e-05,-2.020600220715813e-06,-3.1010860979321853e-06,3.5653773676554074e-06,5.517409339811099e-08,-1.9839558447919948e-06,-1.1674141561481225e-06,-5.480498702047919e-07,2.147074205154601e-06
Communication Services,1.1025943009422396e-05,3.315198089133828e-05,2.4745908070622417e-07,7.347540079676731e-06,-4.8033088002414814e-06,-1.8340882577540533e-06,-5.656539538559976e-06,-1.2279945947728513e-06,-1.0997012525494471e-05,2.969988411498993e-06,9.36272289390916e-06,3.3675076162375725e-06,8.540476739618105e-07,8.958894648994417e-06,-3.825049997634816e-06,2.5798602585435797e-06,1.1791763194108718e-06,-5.182055549712405e-07,-1.5061173723593912e-07,3.35136652436812e-07,-2.6227023942324706e-07,6.864182040144184e-07
Consumer Discretionary,1.4645069206874107e-06,2.474590807062241e-07,4.150863181309325e-05,8.978114970129242e-06,-1.7858446250323902e-05,-1.0387812094921682e-05,-8.926573362693504e-07,-6.7746674635107235e-06,-1.3064615384934319e-05,2.9623904561201545e-06,-5.971054443932091e-06,-1.4709200814698421e-05,3.92901068786061e-06,-2.0008967231932957e-06,-8.704798905081661e-06,-6.376524830554176e-06,1.5279283633986172e-07,1.1714238327397414e-08,1.8313738786823446e-06,-2.654031474101783e-06,9.907662136741064e-07,1.0170637430531761e-06
Consumer Staples,7.76514165181192e-06,7.34754007967673e-06,8.978114970129243e-06,4.876589263370733e-05,-1.2464974294118619e-05,-7.405281297240173e-06,2.201568286742026e-06,-4.356699103664492e-06,-2.4217904604644103e-05,1.3204815273269099e-05,6.5980830294986675e-06,-4.5120200328049536e-07,2.3508317219663183e-06,8.687034370238264e-06,-1.623813391274376e-06,-5.425841702978869e-06,-8.999354905491408e-07,-6.611175095910882e-07,2.213374574939594e-06,-4.2593843076392973e-07,-3.1644587878335232e-06,2.1481873311181657e-06
Energy,-4.232570280332317e-06,-4.8033088002414814e-06,-1.7858446250323902e-05,-1.2464974294118619e-05,0.00012830492796806435,-4.163343780619729e-07,-1.5551527764756445e-05,-1.1941781664410266e-05,-2.3197564090649072e-06,-5.734378999792498e-06,-1.5698733017248433e-05,1.888310585597749e-05,-3.902940563158235e-06,8.72350010047281e-06,9.060051006183187e-06,-4.45770395237936e-06,-4.499479181140795e-06,3.4988660328336813e-06,-3.289854661034957e-06,-2.484856330905738e-06,-2.5267507212660505e-06,8.071379681615787e-07
Financials,-1.2105689958669316e-06,-1.8340882577540544e-06,-1.0387812094921684e-05,-7.405281297240176e-06,-4.1633437806197356e-07,3.795663847033304e-05,-8.186974681572949e-06,-1.8254683118113897e-06,-2.016982910212781e-05,-6.0510519318286496e-06,2.209072558544426e-06,-5.877117524832135e-07,-1.9887254574257823e-06,-2.5069851513357693e-06,-1.4075486645159086e-07,3.378158256943036e-06,9.768737144619626e-08,-1.4065170200025367e-07,1.9336445664858416e-07,7.282055425867742e-07,8.955599960483576e-07,-2.8618122143055724e-07
Health Care,2.3330146695290747e-06,-5.656539538559974e-06,-8.926573362693501e-07,2.201568286742026e-06,-1.5551527764756448e-05,-8.186974681572949e-06,6.234699561996428e-05,-4.736810066834007e-06,-1.1517605743387605e-05,4.548439747173429e-07,3.747904851066887e-06,-2.1811900816150483e-06,-1.9985334509582865e-06,2.4517268808137084e-06,-3.208478109742584e-06,-2.011674628438016e-06,-2.7639434605777815e-06,-1.0010849648670845e-07,-6.323843977031111e-09,2.3366467909987043e-06,7.067976002037489e-06,-5.322135158799337e-07
Industrials,-3.7838676309106435e-07,-1.227994594772851e-06,-6.7746674635107235e-06,-4.356699103664492e-06,-1.1941781664410268e-05,-1.8254683118113903e-06,-4.736810066834008e-06,1.8634725270141648e-05,-4.721096122183134e-06,-3.892362041523167e-08,-1.9142665378775144e-06,-5.460631036355042e-06,1.6941825589450566e-08,-2.867544855668566e-06,4.273798676945554e-06,3.5692608800191394e-06,1.4575159329692738e-06,1.6427262230490588e-06,3.388483713119659e-07,5.907991751716291e-07,-7.60251806983956e-07,-2.5731714573705906e-07
Information Technology,-1.1492346391561122e-05,-1.0997012525494471e-05,-1.3064615384934319e-05,-2.4217904604644103e-05,-2.31975640906491e-06,-2.016982910212781e-05,-1.1517605743387605e-05,-4.721096122183133e-06,8.161351305418996e-05,-1.4039218572680128e-05,-1.1544049935243537e-05,-8.776026390815753e-06,-3.0135524404323304e-07,-6.214262803417756e-06,3.8201671642666716e-06,3.531550692263898e-06,1.8134379568820385e-07,-2.455131678443193e-06,-3.271276407033916e-06,9.222711450274926e-07,-2.458718124936864e-06,-1.4078409244926724e-06
Materials,-3.1783934908635884e-06,2.969988411498992e-06,2.962390456120154e-06,1.3204815273269099e-05,-5.734378999792499e-06,-6.051051931828648e-06,4.5484397471734154e-07,-3.892362041523211e-08,-1.4039218572680126e-05,5.036337651710887e-05,-5.1628139793580975e-06,-5.753927696084787e-06,-1.0970751973680601e-06,-3.0720011489301586e-06,-1.389863904049943e-06,-2.072929974455444e-06,-1.1748326624438347e-06,1.949071497880212e-06,2.0915814070648887e-06,1.6408014046889472e-06,-1.1380156477259535e-06,-3.5039052423851923e-07
