,Country,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities,size,beta,momentum,residvol,nlsize,btop,liquidity,earnyild,growth,leverage
Country,0.0004731079546133306,5.10630405709783e-05,4.0698231821228245e-05,1.2725674918548408e-05,-1.9779668205673896e-05,2.469875748359925e-06,2.1507447635403712e-05,-4.767634069321174e-06,-1.429197538584622e-05,-9.434726372713903e-06,2.223079553409644e-05,6.963383874402611e-05,1.787425348366338e-06,0.00019175617191813051,-2.8858148388981503e-06,-3.574851330859647e-05,2.768527691030404e-06,2.8529411313200934e-06,-7.3704994634114906e-06,-3.2803316862185376e-06,-2.4938019165534402e-06,2.6940945151312802e-06
Communication Services,5.10630405709783e-05,0.00015082233556642025,-7.201698260992393e-06,4.0703056798299747e-05,-1.474565548652141e-05,3.296124107702546e-05,4.612548971104221e-05,-1.3874688906392767e-05,-1.9502089941037935e-05,-9.907208320381646e-06,-2.181062284077126e-07,8.328925484073464e-06,-1.157225813558744e-05,3.964627287536625e-05,-6.116748289306893e-06,-9.771408542043773e-07,1.3597834946085065e-06,-8.312102473991907e-06,-6.796384402318294e-06,1.629592439424602e-06,4.754114629861423e-06,1.1939478032058769e-06
Consumer Discretionary,4.0698231821228245e-05,-7.201698260992398e-06,8.63601009836681e-05,1.0355883243400117e-05,-1.3148070312091488e-05,-2.1780647261853983e-05,-6.705218703593651e-06,4.997599129150749e-06,-1.9572396937225444e-05,1.237255161048308e-05,2.744683962113072e-06,3.8094503755282766e-05,1.7363367723669355e-05,6.402863704309331e-06,-8.878573066817252e-06,-2.027758086793616e-06,3.7030273650366537e-06,1.4929398736502484e-06,1.4375311077373749e-06,-1.1913853918928036e-06,-9.850670229053477e-07,8.070383378560313e-06
Consumer Staples,1.2725674918548411e-05,4.0703056798299747e-05,1.0355883243400115e-05,9.914081797794862e-05,1.8440955465634893e-07,1.5053622993296675e-05,1.9119785257577486e-05,5.903768812882215e-07,-2.018427963719668e-05,6.429106439100617e-06,-2.5169647368269297e-06,3.0446855713130894e-05,-2.4766202877636685e-06,2.0986645869010657e-05,-9.722097307920445e-06,-2.9961189395833878e-06,4.398290886291277e-06,-3.2820993118309944e-06,-9.57624900649722e-06,-4.0635536685671905e-07,-1.7281082439717039e-06,4.1100162644912725e-06
Energy,-1.9779668205673896e-05,-1.4745655486521412e-05,-1.3148070312091492e-05,1.844095546563495e-07,0.00018276006136456286,1.147670300281588e-05,-6.518828048279105e-06,1.6272835614497162e-05,-1.907268952345734e-05,2.086778826949582e-05,2.673526210430967e-05,-1.2213393319523775e-05,4.9405439711520245e-06,-1.0337473074936925e-05,3.470355065284837e-07,1.0046705907553633e-05,-1.966871849151959e-06,3.8167436624485594e-06,4.509325936067306e-06,2.9449850246388035e-06,2.123946999895633e-06,-2.248554986167926e-06
Financials,2.4698757483599305e-06,3.296124107702545e-05,-2.178064726185398e-05,1.5053622993296675e-05,1.147670300281588e-05,0.00018051529211838334,1.526632310039191e-05,-1.2064653533055587e-05,-3.715305048406674e-05,-1.1970909062027336e-05,-2.4721217551291725e-05,4.185290559653321e-05,-5.974699393674173e-07,2.4091894718363936e-06,-1.0285364392479131e-05,-1.0215048653813825e-05,1.2169258150248833e-05,3.009036137664601e-07,-3.0739754366649507e-07,8.822254497146472e-06,-2.5328828239186428e-06,-5.431192609176588e-06
Health Care,2.1507447635403712e-05,4.6125489711042215e-05,-6.7052187035936485e-06,1.9119785257577486e-05,-6.518828048279105e-06,1.526632310039192e-05,0.00013110300777347653,-3.3146613189324828e-06,-1.8131865360515396e-05,-9.523573032796616e-07,1.1504313954786946e-05,-5.8741007926489625e-06,-1.3422749834286946e-05,2.7906276316764408e-05,9.636370590167978e-07,3.882887026184513e-06,7.829427813543868e-07,-7.556513336302217e-06,-6.259315680190552e-06,3.2111065798344324e-06,8.474275204871883e-07,1.947094900775591e-06
Industrials,-4.767634069321172e-06,-1.3874688906392765e-05,4.997599129150749e-06,5.903768812882206e-07,1.627283561449717e-05,-1.2064653533055589e-05,-3.314661318932482e-06,6.787854161380485e-05,-3.836331987918997e-05,1.595822298451521e-05,1.5072236407776487e-05,2.2428188775258306e-05,7.576546661164912e-06,-3.155806726295072e-06,1.8216834569114386e-06,1.0533048848873969e-05,4.895178115122901e-06,3.4213679594768998e-06,7.739077357950171e-06,-5.4161018926582736e-06,-8.57018518219347e-07,1.9547930180981324e-06
Information Technology,-1.4291975385846221e-05,-1.9502089941037935e-05,-1.9572396937225444e-05,-2.0184279637196684e-05,-1.907268952345734e-05,-3.715305048406674e-05,-1.8131865360515396e-05,-3.836331987918996e-05,4.9703767077148127e-05,-1.9376369725497633e-05,-6.0861342174840564e-06,-5.058218328329325e-05,-8.176029403215501e-06,-7.595393719770137e-06,6.414084539464979e-06,-5.136684336134822e-06,-8.220607720623634e-06,-1.0111832643737607e-06,-2.6562954779273587e-06,2.6225400330180784e-06,-1.6545066991796328e-07,-3.54608120479313e-06
Materials,-9.434726372713905e-06,-9.907208320381643e-06,1.237255161048308e-05,6.429106439100617e-06,2.086778826949582e-05,-1.1970909062027334e-05,-9.523573032796587e-07,1.595822298451521e-05,-1.9376369725497633e-05,7.482257224937268e-05,1.6272511488365842e-05,2.4703646090422316e-05,1.0699792503886079e-05,1.115418076404857e-06,-1.6205100916817012e-05,1.8051713790876734e-05,4.0581240930413105e-07,-1.192693480728031e-06,-5.90312498261406e-06,-3.7231056940289208e-06,3.24776434167307e-06,6.707529503287928e-06
