,Country,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities,size,beta,momentum,residvol,nlsize,btop,liquidity,earnyild,growth,leverage
2024-03-21,0.023935263125146728,-0.007207352826789079,0.0010247153871878222,-0.006911614673370862,-0.0018246638077136666,0.0014280564063036455,-0.004787286954400618,-0.0010800773031275663,0.0033616523785463493,-0.003200940913439055,-0.0014432470122073679,0.0014282296467528987,0.00340748057032689,-5.443389509852221e-18,0.003484887210791532,0.0008515961178641049,-0.002216353465011625,0.001296522728883919,0.0018010622721498862,0.00044615146215022975,-0.003617249684173397,0.0012157801435522299
2024-03-22,-0.0010257909324407444,0.001904524330419554,-0.003535666044368514,0.004809066527785561,0.0025622401968594744,7.743270099373059e-05,0.011367566387248212,0.0002591934410132199,-0.0012424892143670454,-0.0026944279649649956,0.006735772675162577,-0.0007490736118185418,-0.0012885007130990819,-5.521637216646887e-18,-0.0030222412689396728,-0.0004884103408735539,-0.0004582795182581822,-0.0002627868159229565,0.0009008952241385898,0.0007588687721062693,-0.0011384892597028804,-0.00032447412463661933
2024-03-25,-0.003535103186939902,0.011457991645670759,-0.004568411321659711,0.007041381689153066,0.007334278983101388,-0.0050756903508653575,0.017306881557756806,-0.006634498547447973,-0.00045623237791577625,0.003462251536740999,0.011297099126778247,-0.004742653419301902,-0.0014599903392334928,-5.726929236676887e-18,3.140585141682487e-05,0.0029611157332967942,-0.0009548219851593597,-0.00028871404418763844,-0.00014413271124075574,0.0011071455015231838,0.0006629588393410819,-0.0008106725091296612
2024-03-26,0.0075989882342542975,0.012624752789267795,0.0005443950071363252,-0.00015883913528297056,-0.0003134859674391883,-0.00945907304822017,-0.014234835402241014,-0.0036127995425420394,0.006090738937141582,-0.0030906646913912528,-0.00635104164794488,-0.013470148877782437,0.0011778266410389004,-9.258143247388634e-18,0.006664886289907093,-0.003443904236808609,0.0007224236398929813,0.0014111014132912403,-0.0001826423463520023,-0.0021167614664677637,-0.0008905561491406999,-0.0025728694257786907
2024-03-27,0.00034733472462379676,0.004783208957452721,0.00045255475936672437,-0.0037770838111004664,-0.011969740859822033,-0.021162054611778607,-0.012740745915771696,0.00021522391314858567,0.009865191799657036,-0.0077915280074336915,-0.010220593511449426,-0.002589381801681392,0.0035958488383596465,7.579004689002321e-18,-0.0011750764217579852,0.002691956258310993,0.004316309511475443,0.0028760242520024515,-0.0024415107657805384,0.0006032592077177924,0.00397582016058104,-0.0030234170735101568
2024-03-28,-0.0005285742030216948,-0.008211090491621114,-0.007596636204820472,-0.0014356417828935376,-0.006862944550634782,0.002648241547156711,-0.0033324005683330045,-0.0013805309767028681,0.006921809981495806,-0.007295914607233524,-0.003468500334759671,-0.003837617428304003,0.00016152057531381047,-1.210048067893309e-17,-0.0004016746474339095,-0.00315520191453651,0.0005744168647711749,0.0011251960069202853,0.0013315762352628681,-0.001943423141715934,-0.0026551894147868586,0.0013277741989059348
2024-03-29,-0.0012261137740046696,-0.006318501154219082,-0.003803904691745957,-0.003216419195028226,-0.0012762302848076132,-0.009906111211273584,-0.006522977961629132,-0.0006830229797918993,0.007705418709754164,-0.003481972276667518,-0.016998510727518536,-0.0038625135288950503,-0.004792327331471179,3.651098906245768e-17,0.0015141528668902605,-0.0030677733560284678,-0.004286070469378685,-0.003187166151545944,0.000963509993983905,0.000644354285566273,-0.0005925283392109934,-0.00016867878801510883
2024-04-01,0.0017551935256951174,0.0031332002250693057,0.0008244756912483168,0.01813695767094444,-0.003305191583955489,-0.01035073051621802,-0.0013256221070126698,0.0025892548315095527,0.00020285793395175247,-0.0039028267614548075,0.0005938297405060121,0.0033863938184409974,0.00539825273283492,4.8473519853056734e-18,-0.004407625436166245,-0.0006753350831379635,0.006276291255419648,0.003993245464890056,0.003437430825992211,-0.0062347076158007116,-0.0019915681622965707,-0.0025837225995850362
2024-04-02,0.00015716118697169944,-0.01537186001652756,-0.008603767859030222,-0.0017534014842618953,0.02113113331531847,0.0022479920103683007,-0.0184141476432613,0.002678326643114552,0.006500041939076402,-0.0037705142254885215,0.01761733894342759,-0.0010229193420466676,-0.001724751018319739,4.520806327496984e-18,0.002125905915306471,-0.005157939238689561,-0.00334495351121614,-9.460413165363899e-05,0.0008773040320746475,-0.0006754145168394788,-0.0021815503452703245,-0.003181432924026495
2024-04-03,-0.01979447182611965,0.00831012242488064,-0.0039119917941291904,0.010359148703080285,0.0030946951427935476,0.0012148122232435272,-0.002695438016430087,0.0035769884782487376,-0.0016000016261054097,-0.004746542886484989,-0.0025957480434638906,0.005616184622500713,-0.0022946223877094722,-1.3456595289056396e-17,0.0015911517842168853,-0.005220294902228205,0.003738595226630766,-0.00040190455345153625,-0.0004977983357457926,-5.0434671191039066e-05,-0.000133295232362754,-0.0008888135853709821
