,Mean (%),Vol (%),t-stat
Country,36.085383064033586,28.223234647395472,1.8081711316989002
Communication Services,-7.907430449001583,14.020446496373234,-0.7976062236957107
Consumer Discretionary,-8.286185262993378,9.710432734299445,-1.2067881936784486
Consumer Staples,-1.6058172627343645,11.931682022761663,-0.19033096484800122
Energy,-15.563620452012103,16.55332078344553,-1.3296596743823519
Financials,2.0686570454838313,16.05572169537386,0.18221061034365232
Health Care,-17.04124443575302,13.805298256678869,-1.7457036097787775
Industrials,11.721667723476992,9.391361206932793,1.765126599106301
Information Technology,1.7654966647254091,8.940285432324291,0.2792740060123589
Materials,-16.032976071654254,9.527012145181338,-2.3799751548763433
Real Estate,-8.123000846556208,11.272561628164748,-1.0190814069861238
Utilities,12.130774526167604,25.114268032509035,0.6830979837751762
size,1.0179952501427765,5.447136038186825,0.26429717912140177
beta,9.86727671755261,12.280248379777383,1.1363317846755268
momentum,9.322673837040671,6.992880433312538,1.8853821259572627
residvol,-17.542180901070672,5.883653086984224,-4.216494374689998
nlsize,-1.1266078775953985,4.4244757926862714,-0.3601023521488062
btop,-5.221402682623179,3.177849199061093,-2.323640306959387
liquidity,-2.304108132342763,4.640588146458679,-0.7021741354961443
earnyild,6.601470745371231,3.0469000802753414,3.0640615752878766
growth,-1.9041363677162761,2.8178313728025848,-0.9556481987614168
leverage,0.7353763325292246,3.261407242667575,0.3188743709480437
